,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2021-09-30 10:54:39,2021-09-22,ERIE,Hagen Thomas B,Dir,P - Purchase,$185.16,400,16762589,0%,"+$74,064",,,,,ERIE
1,D,2020-03-26 14:27:52,2020-03-25,ERIE,Connell Eugene C,Dir,P - Purchase,$139.82,275,19896,+1%,"+$38,451",,,,,ERIE
2,D,2020-03-13 15:27:29,2020-03-12,ERIE,Vorsheck Elizabeth A,"Dir, 10%",P - Purchase,$135.00,200,3960946,0%,"+$27,000",,,,,ERIE
3,D,2019-09-18 16:08:13,2019-09-17,ERIE,Borneman J Ralph Jr,Dir,S - Sale+OE,$210.00,-20000,20000,-50%,"-$4,200,066",,,,,ERIE
4,D,2019-06-13 15:47:17,2019-06-11,ERIE,Vorsheck Elizabeth A,"Dir, 10%",P - Purchase,$240.56,686,4429600,0%,"+$165,024",,,,,ERIE
5,D,2019-03-27 09:49:25,2019-03-26,ERIE,Borneman J Ralph Jr,Dir,S - Sale+OE,$176.47,-10000,40000,-20%,"-$1,764,710",,,,,ERIE
6,D,2019-03-25 16:26:52,2019-03-25,ERIE,Hudson Brian Arden Sr.,Dir,P - Purchase,$174.03,115,295,+64%,"+$20,014",,,,,ERIE
7,,2019-01-02 09:39:39,2018-12-31,ERIE,Colaizzo Louis F,SVP,P - Purchase,$133.00,750,3930,+24%,"+$99,750",,,,,ERIE
8,D,2018-12-28 10:28:45,2018-12-26,ERIE,Correnti Salvatore,Dir,P - Purchase,$126.81,320,320,New,"+$40,578",,,,,ERIE
9,D,2018-10-30 13:22:49,2018-10-30,ERIE,Necastro Timothy G,"Pres, CEO",P - Purchase,$131.21,160,15339,+1%,"+$20,994",,,,,ERIE
10,D,2018-08-21 16:00:22,2018-08-21,ERIE,Necastro Timothy G,"Pres, CEO",P - Purchase,$127.89,1550,15179,+11%,"+$198,230",,,,,ERIE
11,D,2018-08-03 14:41:36,2018-08-03,ERIE,Necastro Timothy G,"Pres, CEO",P - Purchase,$126.43,141,13629,+1%,"+$17,827",,,,,ERIE
12,,2018-05-31 10:25:46,2018-05-29,ERIE,Colaizzo Louis F,SVP,P - Purchase,$112.00,1000,3178,+46%,"+$112,000",,,,,ERIE
13,D,2018-05-02 10:45:37,2018-05-01,ERIE,Necastro Timothy G,"Pres, CEO",P - Purchase,$117.39,119,13488,+1%,"+$13,969",,,,,ERIE
