,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2022-02-23 17:08:36,2022-02-18,OCUL,Summer Road LLC,10%,P - Purchase,$4.96,50000,5944761,+1%,"+$247,926",,,,,OCUL
1,M,2022-01-31 19:00:08,2022-01-27,OCUL,Summer Road LLC,10%,P - Purchase,$5.20,5500,5894761,0%,"+$28,600",,,,,OCUL
2,M,2022-01-24 17:19:17,2022-01-20,OCUL,Summer Road LLC,10%,P - Purchase,$5.45,74500,5889261,+1%,"+$405,808",,,,,OCUL
3,M,2022-01-18 17:30:36,2022-01-13,OCUL,Summer Road LLC,10%,P - Purchase,$6.06,50000,5814761,+1%,"+$302,921",,,,,OCUL
4,M,2021-12-16 17:05:00,2021-12-14,OCUL,Summer Road LLC,10%,P - Purchase,$6.35,44490,5764761,+1%,"+$282,421",,,,,OCUL
5,M,2021-12-14 19:28:48,2021-12-10,OCUL,Summer Road LLC,10%,P - Purchase,$6.61,40510,5720271,+1%,"+$267,796",,,,,OCUL
6,M,2021-12-08 18:05:50,2021-12-06,OCUL,Summer Road LLC,10%,P - Purchase,$6.18,60900,5679761,+1%,"+$376,603",,,,,OCUL
7,,2021-08-24 08:49:25,2021-08-20,OCUL,Mattessich Antony C.,"Pres, CEO",P - Purchase,$9.89,5000,102900,+5%,"+$49,450",,,,,OCUL
8,,2021-05-21 21:05:37,2021-05-20,OCUL,Lindstrom Richard L Md,Dir,S - Sale,$14.30,-10000,90000,-10%,"-$143,000",,,,,OCUL
9,D,2020-12-07 21:30:20,2020-12-03,OCUL,Peacock Bruce,Dir,S - Sale+OE,$0.00,-25000,0,-100%,-$0,,,,,OCUL
10,,2020-10-20 16:06:01,2020-10-16,OCUL,Summer Road LLC,10%,P - Purchase,$10.48,437,5618861,0%,"+$4,580",,,,,OCUL
11,,2020-05-21 16:15:39,2020-05-19,OCUL,Summer Road LLC,10%,P - Purchase,$5.50,363636,5618424,+7%,"+$1,999,998",,,,,OCUL
12,M,2020-03-24 21:42:08,2020-03-20,OCUL,Summer Road LLC,10%,P - Purchase,$4.71,109100,5254788,+2%,"+$514,198",,,,,OCUL
13,M,2020-03-20 21:34:50,2020-03-18,OCUL,Summer Road LLC,10%,P - Purchase,$4.62,385838,5145688,+8%,"+$1,783,424",,,,,OCUL
14,M,2020-03-17 21:35:06,2020-03-13,OCUL,Summer Road LLC,10%,P - Purchase,$4.55,955062,4759850,+25%,"+$4,346,090",,,,,OCUL
15,,2020-01-03 19:45:27,2020-01-02,OCUL,Opaleye Management Inc.,10%,P - Purchase,$3.90,15000,4918500,0%,"+$58,508",,,,,OCUL
16,,2020-01-02 17:15:15,2019-12-30,OCUL,Opaleye Management Inc.,10%,P - Purchase,$3.97,20000,5111000,0%,"+$79,410",,,,,OCUL
17,,2019-06-17 19:21:36,2019-06-14,OCUL,Notman Donald,CFO,P - Purchase,$4.33,2500,24049,+12%,"+$10,825",,,,,OCUL
18,,2019-06-17 19:21:21,2019-06-14,OCUL,Williams Leslie J.,Dir,P - Purchase,$4.40,4500,4500,New,"+$19,800",,,,,OCUL
19,M,2019-06-10 16:55:59,2019-06-06,OCUL,Sawhney Amarpreet,COB,P - Purchase,$2.92,124468,3014973,+4%,"+$362,913",,,,,OCUL
20,,2019-06-10 16:53:30,2019-06-06,OCUL,Mattessich Antony C.,"Pres, CEO",P - Purchase,$2.81,40000,97900,+69%,"+$112,400",,,,,OCUL
21,M,2019-06-06 18:09:08,2019-06-04,OCUL,Sawhney Amarpreet,COB,P - Purchase,$2.91,45780,2890505,+2%,"+$133,349",,,,,OCUL
22,,2019-05-30 16:10:24,2019-05-28,OCUL,Goldstein Michael H.,Chief Medical Officer,P - Purchase,$2.51,12000,25686,+88%,"+$30,120",,,,,OCUL
23,,2019-03-18 18:20:58,2019-03-15,OCUL,Heier Jeffrey S.,Dir,P - Purchase,$4.15,24000,24000,New,"+$99,600",,,,,OCUL
24,,2019-03-18 18:20:44,2019-03-15,OCUL,Goldstein Michael H.,Chief Medical Officer,P - Purchase,$4.15,10000,13686,+271%,"+$41,500",,,,,OCUL
25,,2019-03-14 16:14:40,2019-03-13,OCUL,Lindstrom Richard L Md,Dir,P - Purchase,$4.33,56441,100000,+130%,"+$244,390",,,,,OCUL
26,,2018-12-18 08:52:21,2018-12-14,OCUL,Hanley Kevin F.,SEE REMARKS,P - Purchase,$5.50,10000,20000,+100%,"+$55,000",,,,,OCUL
27,,2018-12-12 16:35:08,2018-12-10,OCUL,Hanley Kevin F.,SEE REMARKS,P - Purchase,$5.60,10000,10000,New,"+$56,000",,,,,OCUL
28,,2018-12-10 16:15:33,2018-12-06,OCUL,Bollag Daniel M,See Remarks,P - Purchase,$5.76,17400,42100,+70%,"+$100,224",,,,,OCUL
29,,2018-08-21 16:30:59,2018-08-20,OCUL,Mattessich Antony C.,"Pres, CEO",P - Purchase,$5.95,20000,57900,+53%,"+$119,000",,,,,OCUL
30,,2018-08-15 17:13:12,2018-08-14,OCUL,Notman Donald,CFO,P - Purchase,$6.29,12500,17300,+260%,"+$78,625",,,,,OCUL
31,,2018-08-13 16:43:04,2018-08-10,OCUL,Mattessich Antony C.,"Pres, CEO",P - Purchase,$6.23,16900,37900,+80%,"+$105,287",,,,,OCUL
