,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2022-03-16 18:07:36,2022-03-15,CWST,Casella Douglas R,"VICE COB, BD OF DirS",S - Sale,$87.99,-17962,722873,-2%,"-$1,580,544",,,,,CWST
1,,2022-03-16 17:57:32,2022-03-15,CWST,Casella John W,CEO,S - Sale,$87.42,-2874,525780,-1%,"-$251,238",,,,,CWST
2,,2022-03-16 16:45:30,2022-03-15,CWST,Johnson Edwin D,"Pres, COO",S - Sale,$87.42,-1409,116298,-1%,"-$123,171",,,,,CWST
3,,2022-03-16 16:45:26,2022-03-15,CWST,Coletta Edmond,"SVP, CFO",S - Sale,$87.42,-1524,158361,-1%,"-$133,224",,,,,CWST
4,,2022-03-16 16:45:20,2022-03-15,CWST,Sayward Shelley E.,"SVP, GC",S - Sale,$87.42,-191,13073,-1%,"-$16,697",,,,,CWST
5,,2022-03-16 16:45:13,2022-03-15,CWST,Heald Christopher,"VP, Chief Accounting Officer",S - Sale,$87.42,-382,38664,-1%,"-$33,393",,,,,CWST
6,,2022-03-15 18:32:23,2022-03-11,CWST,Casella Douglas R,"VICE COB, BD OF DirS",A - Grant,$0.00,1819,740835,0%,+$0,,,,,CWST
7,,2022-03-15 18:32:23,2022-03-14,CWST,Casella Douglas R,"VICE COB, BD OF DirS",S - Sale,$85.97,-13431,740835,-2%,"-$1,154,707",,,,,CWST
8,,2022-03-15 18:29:10,2022-03-11,CWST,Casella John W,CEO,A - Grant,$0.00,4410,528654,+1%,+$0,,,,,CWST
9,,2022-03-15 18:29:10,2022-03-14,CWST,Casella John W,CEO,S - Sale,$90.42,-16044,528654,-3%,"-$1,450,698",,,,,CWST
10,,2022-03-15 18:24:52,2022-03-11,CWST,Coletta Edmond,"SVP, CFO",A - Grant,$0.00,2205,159885,+1%,+$0,,,,,CWST
11,,2022-03-15 18:21:26,2022-03-11,CWST,Johnson Edwin D,"Pres, COO",A - Grant,$0.00,1929,117707,+2%,+$0,,,,,CWST
12,,2022-03-15 18:18:04,2022-03-11,CWST,Sayward Shelley E.,"SVP, GC",A - Grant,$0.00,965,13264,+8%,+$0,,,,,CWST
13,M,2022-03-14 17:59:37,2022-03-10,CWST,Johnson Edwin D,"Pres, COO",S - Sale,$90.80,-24612,115778,-18%,"-$2,234,842",,,,,CWST
14,,2022-03-14 16:45:24,2022-03-11,CWST,Green Emily Nagle,Dir,S - Sale,$91.31,-500,25515,-2%,"-$45,655",,,,,CWST
15,,2022-03-11 16:45:12,2022-03-10,CWST,Burke Michael K,Dir,S - Sale,$90.42,-5000,22799,-18%,"-$452,100",,,,,CWST
16,,2022-03-10 16:45:13,2022-03-10,CWST,Heald Christopher,"VP, Chief Accounting Officer",S - Sale,$87.56,-6421,39046,-14%,"-$562,223",,,,,CWST
17,M,2022-03-08 15:05:33,2022-03-07,CWST,Coletta Edmond,"SVP, CFO",S - Sale,$83.95,-18343,157680,-10%,"-$1,539,839",,,,,CWST
18,A,2022-03-07 13:26:55,2019-08-27,CWST,Casella Douglas R,"VICE COB, BD OF DirS",S - Sale,$44.90,-38853,603851,-6%,"-$1,744,457",,,,,CWST
19,A,2022-03-07 13:23:04,2019-05-03,CWST,Casella John W,CEO,M - OptEx,$7.83,24242,391640,+7%,"+$189,904",,,,,CWST
20,A,2022-03-07 13:23:04,2019-05-03,CWST,Casella John W,CEO,S - Sale,$37.31,-45124,391640,-10%,"-$1,683,667",,,,,CWST
21,,2022-03-03 17:13:17,2022-03-02,CWST,Green Emily Nagle,Dir,S - Sale,$77.86,-1700,26015,-6%,"-$132,362",,,,,CWST
22,,2022-02-24 20:09:14,2022-02-22,CWST,Coletta Edmond,"SVP, CFO",A - Grant,$0.00,36156,176023,+26%,+$0,,,,,CWST
23,,2022-02-24 20:09:14,2022-02-24,CWST,Coletta Edmond,"SVP, CFO",S - Sale,$70.34,-17813,176023,-9%,"-$1,252,953",,,,,CWST
24,,2022-02-24 20:08:21,2022-02-22,CWST,Johnson Edwin D,"Pres, COO",A - Grant,$0.00,36156,140390,+35%,+$0,,,,,CWST
25,,2022-02-24 20:08:21,2022-02-24,CWST,Johnson Edwin D,"Pres, COO",S - Sale,$70.34,-17785,140390,-11%,"-$1,250,983",,,,,CWST
26,,2022-02-24 20:07:59,2022-02-22,CWST,Casella John W,CEO,A - Grant,$0.00,61980,533740,+13%,+$0,,,,,CWST
27,,2022-02-24 20:07:59,2022-02-24,CWST,Casella John W,CEO,S - Sale,$70.34,-31707,533740,-6%,"-$2,230,245",,,,,CWST
28,,2022-02-24 20:07:45,2022-02-22,CWST,Sayward Shelley E.,"SVP, GC",A - Grant,$0.00,704,12299,+6%,+$0,,,,,CWST
29,,2022-02-24 20:07:45,2022-02-24,CWST,Sayward Shelley E.,"SVP, GC",S - Sale,$70.34,-222,12299,-2%,"-$15,615",,,,,CWST
30,,2022-02-24 20:07:13,2022-02-22,CWST,Heald Christopher,"VP, Chief Accounting Officer",A - Grant,$0.00,10330,45467,+29%,+$0,,,,,CWST
31,,2022-02-24 20:07:13,2022-02-24,CWST,Heald Christopher,"VP, Chief Accounting Officer",S - Sale,$70.34,-3243,45467,-7%,"-$228,110",,,,,CWST
32,,2021-11-26 14:55:56,2021-11-24,CWST,Coletta Edmond,"SVP, CFO",G - Gift,$0.00,-1000,157680,-1%,-$0,,,,,CWST
33,,2021-11-23 20:06:48,2021-11-19,CWST,Hulligan William P,Dir,S - Sale,$87.01,-10000,15754,-39%,"-$870,100",,,,,CWST
34,,2021-11-23 13:01:17,2021-11-19,CWST,Johnson Edwin D,"Pres, COO",S - Sale,$88.32,-1203,122019,-1%,"-$106,249",,,,,CWST
35,M,2021-11-18 19:06:26,2021-11-16,CWST,Johnson Edwin D,"Pres, COO",S - Sale,$88.77,-30685,123222,-20%,"-$2,723,831",,,,,CWST
36,,2021-11-16 11:22:18,2021-11-15,CWST,Johnson Edwin D,"Pres, COO",G - Gift,$0.00,-1000,153907,-1%,-$0,,,,,CWST
37,,2021-08-23 13:43:06,2021-08-20,CWST,Johnson Edwin D,"Pres, COO",S - Sale,$73.15,-20000,154907,-11%,"-$1,463,000",,,,,CWST
38,,2021-08-17 10:31:00,2021-08-16,CWST,Heald Christopher,"VP, Chief Accounting Officer",S - Sale,$69.37,-2500,38380,-6%,"-$173,425",,,,,CWST
39,M,2021-08-11 17:07:35,2021-08-09,CWST,Casella Douglas R,"Vice COB, Bd of Dirs",S - Sale,$68.49,-100000,752453,-12%,"-$6,849,099",,,,,CWST
40,M,2021-08-06 17:02:52,2021-08-04,CWST,Casella John W,CEO,S - Sale,$68.64,-112234,503467,-18%,"-$7,704,200",,,,,CWST
41,,2021-08-06 17:02:15,2021-08-04,CWST,Coletta Edmond,"SVP, CFO",S - Sale,$69.40,-10000,158680,-6%,"-$694,004",,,,,CWST
42,,2021-06-16 13:35:50,2021-06-15,CWST,Sova Gary,Dir,A - Grant,$0.00,756,856,+756%,+$0,,,,,CWST
43,,2021-06-03 11:32:16,2021-06-02,CWST,Green Emily Nagle,Dir,A - Grant,$0.00,1802,27715,+7%,+$0,,,,,CWST
44,,2021-06-03 11:31:59,2021-06-02,CWST,Callahan James F Jr,Dir,A - Grant,$0.00,1802,81795,+2%,+$0,,,,,CWST
45,,2021-06-03 11:31:40,2021-06-02,CWST,Hulligan William P,Dir,A - Grant,$0.00,1802,25754,+8%,+$0,,,,,CWST
46,,2021-06-03 11:31:21,2021-06-02,CWST,Burke Michael K,Dir,A - Grant,$0.00,1802,27799,+7%,+$0,,,,,CWST
