,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-02-22 16:22:51,2022-02-18,MLKN,Jacqueline Hourigan Rice,"Sr Vice Pres, GC",F - Tax,$40.59,-715,4181,-15%,"-$29,024",,,,,MLKN
1,D,2022-02-22 16:22:51,2022-02-18,MLKN,Jacqueline Hourigan Rice,"Sr Vice Pres, GC",M - OptEx,$0.00,2000,4181,+92%,+$0,,,,,MLKN
2,D,2022-02-15 14:54:52,2022-02-11,MLKN,Baldwin Christopher M,"Group President, MillerKnoll",F - Tax,$38.09,-1701,24810,-6%,"-$64,791",,,,,MLKN
3,D,2022-02-15 14:54:52,2022-02-11,MLKN,Baldwin Christopher M,"Group President, MillerKnoll",M - OptEx,$0.00,2807,24810,+13%,+$0,,,,,MLKN
4,D,2022-02-08 14:13:14,2022-02-04,MLKN,Lyon Megan,Chief Strategy Officer,F - Tax,$37.10,-894,5061,-15%,"-$33,160",,,,,MLKN
5,D,2022-02-08 14:13:14,2022-02-04,MLKN,Lyon Megan,Chief Strategy Officer,M - OptEx,$0.00,2500,5061,+98%,+$0,,,,,MLKN
6,D,2022-02-08 14:13:00,2022-01-14,MLKN,Shethia Kartik,President - Intl Contract,M - OptEx,$0.00,170,2959,+6%,+$0,,,,,MLKN
7,A,2022-01-25 09:20:36,2022-01-15,MLKN,Manheimer Heidi J,Dir,A - Grant,$37.34,3079,22373,+16%,"+$114,970",,,,,MLKN
8,D,2022-01-19 18:29:28,2021-11-12,MLKN,Volkema Michael A,Dir,G - Gift,$0.00,-6500,133433,-5%,-$0,,,,,MLKN
9,,2022-01-19 18:24:34,2022-01-15,MLKN,Smith Mike C.,Dir,A - Grant,$37.34,3079,8805,+54%,"+$114,970",,,,,MLKN
10,,2022-01-19 18:22:53,2022-01-15,MLKN,Matthews Candace S.,Dir,A - Grant,$37.34,4619,7647,+153%,"+$172,473",,,,,MLKN
11,,2022-01-19 18:21:25,2022-01-15,MLKN,Manheimer Heidi J,Dir,A - Grant,$37.34,3347,22641,+17%,"+$124,977",,,,,MLKN
12,,2022-01-19 18:19:24,2022-01-15,MLKN,Kro Lisa A,Dir,A - Grant,$37.34,3347,25786,+15%,"+$124,977",,,,,MLKN
13,,2022-01-19 18:18:50,2022-01-15,MLKN,Hoke John R III,Dir,A - Grant,$37.34,3280,35393,+10%,"+$122,475",,,,,MLKN
14,,2022-01-19 18:18:07,2022-01-15,MLKN,Andringa Mary Vermeer,Dir,A - Grant,$37.34,5851,36368,+19%,"+$218,476",,,,,MLKN
15,,2022-01-19 18:18:07,2021-11-19,MLKN,Andringa Mary Vermeer,Dir,G - Gift,$0.00,-6500,36368,-15%,-$0,,,,,MLKN
16,D,2022-01-19 17:13:29,2022-01-14,MLKN,Scott Richard,Chief Mfg and Ops Officer,M - OptEx,$0.00,339,1610,+27%,+$0,,,,,MLKN
