,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-05-25 11:46:58,2022-05-24,HUMA,Scheessele William John,Chief Commercial Officer,P - Purchase,$4.72,10525,10525,New,"+$49,678",,,,,HUMA
1,,2022-05-25 10:22:20,2022-05-23,HUMA,Dougan Brady W,"Dir, 10%",P - Purchase,$4.83,10000,22120905,0%,"+$48,300",,,,,HUMA
2,,2022-05-25 10:21:10,2022-05-23,HUMA,Niklason Laura E,"Pres, CEO, Dir, 10%",P - Purchase,$4.83,10000,22120905,0%,"+$48,300",,,,,HUMA
3,,2022-05-24 16:14:55,2022-05-23,HUMA,Constantino Michael T.,Dir,P - Purchase,$4.83,2000,4500,+80%,"+$9,660",,,,,HUMA
4,,2022-05-18 18:16:49,2022-05-17,HUMA,Sander Dale A.,"CFO, Chief Corp. Deve. Officer",P - Purchase,$4.53,2000,2000,New,"+$9,060",,,,,HUMA
5,M,2021-12-16 19:47:37,2021-12-14,HUMA,Dougan Brady W,"Dir, 10%",S - Sale,$9.10,-300000,22110905,-1%,"-$2,729,332",,,,,HUMA
6,M,2021-12-16 19:46:50,2021-12-14,HUMA,Niklason Laura E,"Pres, CEO, Dir, 10%",S - Sale,$9.10,-300000,22110905,-1%,"-$2,729,332",,,,,HUMA
7,,2021-11-24 06:02:19,2021-11-22,HUMA,Constantino Michael T.,Dir,P - Purchase,$10.79,2500,2500,New,"+$26,986",,,,,HUMA
8,D,2021-08-27 16:15:32,2021-08-26,HUMA,Niklason Laura E,"Pres, CEO, Dir, 10%",A - Grant,$0.00,20078244,22410905,+861%,+$0,,,,,HUMA
9,D,2021-08-27 16:15:32,2021-08-26,HUMA,Niklason Laura E,"Pres, CEO, Dir, 10%",P - Purchase,$10.00,1522500,22410905,+7%,"+$15,225,000",,,,,HUMA
10,D,2021-08-27 16:14:13,2021-08-26,HUMA,Dougan Brady W,"Dir, 10%",A - Grant,$0.00,20078244,22410905,+861%,+$0,,,,,HUMA
11,D,2021-08-27 16:14:13,2021-08-26,HUMA,Dougan Brady W,"Dir, 10%",P - Purchase,$10.00,1522500,22410905,+7%,"+$15,225,000",,,,,HUMA
12,,2021-08-27 16:13:06,2021-08-26,HUMA,Ayabudge LLC,10%,A - Grant,$0.00,18930004,20452504,>999%,+$0,,,,,HUMA
13,,2021-08-27 16:13:06,2021-08-26,HUMA,Ayabudge LLC,10%,P - Purchase,$10.00,1522500,20452504,+8%,"+$15,225,000",,,,,HUMA
14,D,2021-08-27 16:10:40,2021-08-26,HUMA,Wallace Max N.,Dir,A - Grant,$0.00,49986,49986,New,+$0,,,,,HUMA
15,D,2021-08-27 16:10:02,2021-08-26,HUMA,Lawson Jeffrey Harold,Chief Surgical Officer,A - Grant,$0.00,7877,7877,New,+$0,,,,,HUMA
16,D,2021-08-27 16:09:43,2021-08-26,HUMA,Prichard Heather Ledbetter,COO,A - Grant,$0.00,2625,2625,New,+$0,,,,,HUMA
17,D,2021-08-27 16:08:57,2021-08-26,HUMA,Tente William Edward,Chief Regulatory Officer,A - Grant,$0.00,52519,52519,New,+$0,,,,,HUMA
