,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
25,D,2020-07-10 16:25:02,2020-07-08,LH,Williams R Sanders,Dir,S - Sale+OE,$173.12,-1300,5095,-20%,"-$225,056",,,,,LH
26,,2020-07-07 09:38:23,2020-07-02,LH,Van Der Vaart Sandra D,"EVP, GC",S - Sale,$170.00,-435,4044,-10%,"-$73,950",,,,,LH
27,,2020-06-26 10:06:12,2020-06-24,LH,Van Der Vaart Sandra D,"EVP, GC",S - Sale,$160.33,-872,4479,-16%,"-$139,808",,,,,LH
28,,2020-05-07 12:05:56,2020-05-05,LH,King David P,Dir,S - Sale,$160.00,-31250,332096,-9%,"-$5,000,000",,,,,LH
29,M,2020-05-04 10:18:12,2020-02-28,LH,Seltz Judith C,"EVP, CHRO",P - Purchase,$171.31,580,580,New,"+$99,360",,,,,LH
30,,2020-02-25 12:59:55,2020-02-21,LH,Wilkinson Peter J,"SVP, Chief Accounting Officer",S - Sale,$189.65,-297,297,-50%,"-$56,326",,,,,LH
31,D,2020-02-21 15:52:46,2020-02-19,LH,Belingard Jean-Luc,Dir,S - Sale+OE,$189.76,-26479,14682,-64%,"-$5,024,750",,,,,LH
32,D,2020-02-14 17:11:37,2020-02-13,LH,Van Der Vaart Sandra D,"SVP, Global GC",S - Sale+OE,$188.49,-208,2736,-7%,"-$39,206",,,,,LH
33,D,2020-02-14 17:07:51,2020-02-13,LH,Schroeder Mark S,"EVP, Pres-Diagnostics Lab",S - Sale+OE,$188.49,-188,486,-28%,"-$35,436",,,,,LH
34,D,2020-02-14 15:08:13,2020-02-13,LH,Williams R Sanders,Dir,S - Sale+OE,$188.49,-1227,5095,-19%,"-$231,277",,,,,LH
35,D,2020-02-11 13:47:45,2020-02-10,LH,Schroeder Mark S,"EVP, Pres-Diagnostics Lab",S - Sale+OE,$181.99,-108,300,-26%,"-$19,655",,,,,LH
36,D,2020-02-11 13:45:04,2020-02-10,LH,Van Der Vaart Sandra D,"SVP, Global GC",S - Sale+OE,$181.99,-133,2529,-5%,"-$24,205",,,,,LH
37,,2019-10-30 17:25:03,2019-10-28,LH,King David P,"Pres, CEO",S - Sale,$165.40,-30177,325475,-8%,"-$4,991,217",,,,,LH
38,D,2019-09-25 13:40:11,2019-09-23,LH,Anderson Kerrii B,Dir,S - Sale+OE,$171.85,-2600,19133,-12%,"-$446,810",,,,,LH
39,D,2019-09-06 09:54:44,2019-09-04,LH,Uthgenannt Lisa J,CHRO,S - Sale+OE,$168.59,-2466,4660,-35%,"-$415,743",,,,,LH
40,,2019-09-04 09:04:10,2019-08-30,LH,Berberian Lance,"SVP, CIO",S - Sale,$169.80,-5902,6097,-49%,"-$1,002,172",,,,,LH
41,,2019-08-07 11:40:15,2019-08-05,LH,Williams R Sanders,Dir,S - Sale,$162.91,-500,6886,-7%,"-$81,455",,,,,LH
42,,2019-07-10 09:03:06,2019-07-08,LH,Eisenberg Glenn A,"CFO, EVP",S - Sale,$176.75,-5563,17059,-25%,"-$983,260",,,,,LH
43,,2019-07-10 09:02:11,2019-07-08,LH,Van Der Vaart Sandra D,"SVP, Global GC",S - Sale,$176.75,-2328,2328,-50%,"-$411,474",,,,,LH
44,D,2019-06-21 15:26:35,2019-06-20,LH,Anderson Kerrii B,Dir,S - Sale+OE,$170.00,-3100,19133,-14%,"-$527,000",,,,,LH
45,,2019-06-11 18:16:59,2019-06-07,LH,Eisenberg Glenn A,"CFO, EVP",S - Sale,$167.40,-10000,22622,-31%,"-$1,673,970",,,,,LH
46,,2019-05-08 08:21:50,2019-05-06,LH,Williams R Sanders,Dir,S - Sale,$162.20,-500,7386,-6%,"-$81,100",,,,,LH
47,D,2019-05-07 11:00:40,2019-05-03,LH,Mittelstaedt Robert E Jr,Dir,S - Sale+OE,$166.30,-3700,15209,-20%,"-$615,310",,,,,LH
48,,2019-05-06 08:45:09,2019-05-02,LH,Uthgenannt Lisa J,CHRO,S - Sale,$164.00,-4000,4638,-46%,"-$656,000",,,,,LH
49,D,2019-02-14 17:01:35,2019-02-12,LH,Belingard Jean-Luc,Dir,S - Sale+OE,$146.06,-3700,34013,-10%,"-$540,407",,,,,LH
50,D,2019-02-14 16:18:54,2019-02-13,LH,Williams R Sanders,Dir,S - Sale+OE,$147.00,-1038,7886,-12%,"-$152,586",,,,,LH
51,,2018-11-29 10:00:01,2018-11-27,LH,Williams R Sanders,Dir,S - Sale,$162.14,-350,7886,-4%,"-$56,749",,,,,LH
52,D,2018-11-07 10:54:13,2018-11-05,LH,Anderson Kerrii B,Dir,S - Sale+OE,$163.29,-3700,18095,-17%,"-$604,162",,,,,LH
53,D,2018-06-08 11:11:07,2018-06-06,LH,Dodson Edward T,Principal Accounting Officer,S - Sale+OE,$183.35,-13000,9113,-59%,"-$2,383,558",,,,,LH
54,,2018-06-06 14:59:16,2018-06-04,LH,Uthgenannt Lisa J,CHRO,S - Sale,$182.10,-4500,3755,-55%,"-$819,451",,,,,LH
55,,2018-06-04 16:17:22,2018-05-31,LH,Gilliland Dwight Gary,Dir,S - Sale,$181.29,-1263,3501,-27%,"-$228,967",,,,,LH
56,,2018-06-04 16:16:13,2018-05-31,LH,Berberian Lance,"SVP, CIO",S - Sale,$182.30,-5500,5940,-48%,"-$1,002,672",,,,,LH
57,,2018-06-01 08:15:12,2018-05-30,LH,Gary M. Huff,"CEO, LabCorp Diagnostics",S - Sale,$182.50,-1610,1610,-50%,"-$293,823",,,,,LH
58,,2018-06-01 08:14:03,2018-05-30,LH,Eisenberg Glenn A,"CFO, EVP",S - Sale,$181.21,-10000,15563,-39%,"-$1,812,065",,,,,LH
59,D,2018-05-25 11:15:05,2018-05-23,LH,King David P,"Pres, CEO",S - Sale+OE,$175.37,-49966,296837,-14%,"-$8,762,344",,,,,LH
