,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-16 16:28:05,2022-03-14,HZO,Moore Clint,Dir,S - Sale,$43.28,-4500,25500,-15%,"-$194,760",,,,,HZO
1,,2022-01-03 16:25:22,2022-01-03,HZO,Eure Hilliard M,Dir,S - Sale,$60.12,-1200,21000,-5%,"-$72,144",,,,,HZO
2,,2022-01-03 16:23:16,2021-12-31,HZO,Oglesby Charles R,Dir,A - Grant,$59.04,351,20055,+2%,"+$20,723",,,,,HZO
3,,2022-01-03 16:21:41,2021-12-31,HZO,White Rebecca,Dir,A - Grant,$59.04,70,21864,0%,"+$4,133",,,,,HZO
4,,2022-01-03 16:19:55,2021-12-31,HZO,Johnson Adam M.,Dir,A - Grant,$59.04,338,338,New,"+$19,956",,,,,HZO
5,M,2021-12-30 16:02:42,2021-12-28,HZO,McLamb Michael H,"EVP, CFO, Sec",S - Sale,$59.08,-5000,48002,-9%,"-$295,397",,,,,HZO
6,,2021-12-17 17:12:56,2021-12-15,HZO,McLamb Michael H,"EVP, CFO, Sec",S - Sale,$57.10,-4300,53002,-8%,"-$245,530",,,,,HZO
7,,2021-12-17 17:11:47,2021-12-15,HZO,Cassella Anthony E. Jr.,"VP, Chief Accounting Officer",S - Sale,$57.14,-8096,6481,-56%,"-$462,605",,,,,HZO
8,,2021-12-14 16:26:03,2021-12-10,HZO,Cashman Charles A,"EVP, Chief Revenue Officer",S - Sale,$56.70,-10000,18763,-35%,"-$567,000",,,,,HZO
9,,2021-12-14 16:22:19,2021-12-10,HZO,Cassella Anthony E. Jr.,"VP, Chief Accounting Officer",S - Sale,$57.07,-904,14577,-6%,"-$51,591",,,,,HZO
10,,2021-12-14 16:20:31,2021-12-10,HZO,McLamb Michael H,"EVP, CFO, Sec",S - Sale,$57.07,-700,57302,-1%,"-$39,949",,,,,HZO
11,D,2021-12-02 16:44:09,2021-12-02,HZO,Eure Hilliard M,Dir,M - OptEx,$0.00,5000,22200,+29%,+$0,,,,,HZO
12,D,2021-12-02 16:41:19,2021-12-02,HZO,Watters Joseph Allen,Dir,M - OptEx,$0.00,5000,89410,+6%,+$0,,,,,HZO
13,D,2021-12-02 16:38:44,2021-12-02,HZO,Oglesby Charles R,Dir,M - OptEx,$0.00,5000,19704,+34%,+$0,,,,,HZO
14,D,2021-12-02 16:35:29,2021-12-02,HZO,White Rebecca,Dir,M - OptEx,$0.00,5000,21794,+30%,+$0,,,,,HZO
15,D,2021-12-02 16:34:28,2021-12-02,HZO,Follit Evelyn V,Dir,M - OptEx,$0.00,5000,31390,+19%,+$0,,,,,HZO
16,D,2021-12-02 16:32:40,2021-12-02,HZO,Moore Clint,Dir,M - OptEx,$0.00,5000,30000,+20%,+$0,,,,,HZO
17,D,2021-12-02 16:31:23,2021-12-02,HZO,Borst George E,Dir,M - OptEx,$0.00,5000,22042,+29%,+$0,,,,,HZO
18,D,2021-11-23 16:30:01,2021-11-15,HZO,Eure Hilliard M,Dir,G - Gift,$0.00,-300,17200,-2%,-$0,,,,,HZO
19,D,2021-11-12 16:09:14,2021-11-09,HZO,Watters Joseph Allen,Dir,M - OptEx,$7.39,20000,84410,+31%,"+$147,700",,,,,HZO
20,D,2021-11-12 16:09:14,2021-11-09,HZO,Watters Joseph Allen,Dir,S - Sale+OE,$55.80,-20000,84410,-19%,"-$1,115,900",,,,,HZO
21,D,2021-10-04 17:13:33,2021-09-30,HZO,Cashman Charles A,"EVP, Chief Revenue Officer",F - Tax,$48.52,-6493,28763,-18%,"-$315,040",,,,,HZO
22,D,2021-10-04 17:13:33,2021-09-30,HZO,Cashman Charles A,"EVP, Chief Revenue Officer",M - OptEx,$0.00,21630,28763,+303%,+$0,,,,,HZO
