,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2020-11-03,9.13,9.77,9.0,9.38,9.38,228518,TLMD
1,2020-11-04,9.58,9.85,9.15,9.26,9.26,714016,TLMD
2,2020-11-05,9.2,9.63,9.2,9.4,9.4,54325,TLMD
3,2020-11-06,9.45,9.85,8.84,9.0,9.0,184327,TLMD
4,2020-11-09,9.13,9.15,8.65,8.79,8.79,68364,TLMD
5,2020-11-10,8.83,8.89,7.62,8.22,8.22,108562,TLMD
6,2020-11-11,8.28,8.5,7.83,8.17,8.17,386815,TLMD
7,2020-11-12,8.15,8.3499,7.775,7.98,7.98,125242,TLMD
8,2020-11-13,7.9,8.83,7.9,8.16,8.16,366171,TLMD
9,2020-11-16,8.16,8.65,8.13,8.27,8.27,270072,TLMD
10,2020-11-17,9.0,9.0,8.15,8.17,8.17,175724,TLMD
11,2020-11-18,8.24,8.9,8.24,8.75,8.75,357523,TLMD
12,2020-11-19,8.93,8.93,8.34,8.61,8.61,406411,TLMD
13,2020-11-20,8.32,8.83,8.32,8.5,8.5,293957,TLMD
14,2020-11-23,8.37,8.8,7.99,8.15,8.15,182451,TLMD
15,2020-11-24,7.97,8.24,7.97,8.06,8.06,98966,TLMD
16,2020-11-25,8.89,8.89,8.21,8.22,8.22,166561,TLMD
17,2020-11-27,8.27,8.48,8.2149,8.33,8.33,58490,TLMD
18,2020-11-30,8.37,8.4,7.96,8.06,8.06,117862,TLMD
19,2020-12-01,8.34,8.61,8.3,8.3,8.3,247935,TLMD
20,2020-12-02,8.48,8.52,8.26,8.3,8.3,165250,TLMD
21,2020-12-03,8.35,8.54,8.09,8.3,8.3,172550,TLMD
22,2020-12-04,8.36,8.65,8.3199,8.56,8.56,313448,TLMD
23,2020-12-07,8.56,8.84,8.34,8.48,8.48,277852,TLMD
24,2020-12-08,8.5,8.63,8.38,8.44,8.44,137085,TLMD
25,2020-12-09,8.43,8.5,7.965,8.14,8.14,275836,TLMD
26,2020-12-10,8.15,8.25,7.66,7.77,7.77,229392,TLMD
27,2020-12-11,7.76,8.02,7.36,7.45,7.45,354376,TLMD
28,2020-12-14,7.5,7.92,7.23,7.44,7.44,485469,TLMD
29,2020-12-15,7.47,7.7,7.22,7.26,7.26,736413,TLMD
30,2020-12-16,7.27,7.61,7.25,7.31,7.31,826686,TLMD
31,2020-12-17,7.36,8.26,7.27,8.11,8.11,4178379,TLMD
32,2020-12-18,8.37,8.74,7.83,8.07,8.07,2952130,TLMD
33,2020-12-21,7.485,8.42,7.485,8.4,8.4,747429,TLMD
34,2020-12-22,8.4,8.4,7.81,7.915,7.915,574354,TLMD
35,2020-12-23,7.88,8.08,7.81,8.04,8.04,227105,TLMD
36,2020-12-24,8.0,8.01,7.75,7.85,7.85,116088,TLMD
37,2020-12-28,7.84,8.33,7.84,7.97,7.97,230246,TLMD
38,2020-12-29,7.97,8.105,7.3,7.99,7.99,634577,TLMD
39,2020-12-30,7.94,7.94,7.52,7.69,7.69,264836,TLMD
40,2020-12-31,7.7,7.95,7.57,7.84,7.84,308954,TLMD
41,2021-01-04,7.84,7.85,7.48,7.6,7.6,189796,TLMD
42,2021-01-05,7.52,7.67,7.28,7.32,7.32,377301,TLMD
43,2021-01-06,7.38,7.54,7.26,7.42,7.42,256697,TLMD
44,2021-01-07,7.38,7.66,7.35,7.46,7.46,382341,TLMD
45,2021-01-08,7.55,7.58,7.13,7.39,7.39,614516,TLMD
46,2021-01-11,7.39,7.39,6.9736,7.2,7.2,411350,TLMD
47,2021-01-12,7.23,7.4,7.03,7.06,7.06,257107,TLMD
48,2021-01-13,7.0,7.12,6.82,7.0,7.0,413309,TLMD
49,2021-01-14,7.07,7.385,7.01,7.33,7.33,415004,TLMD
50,2021-01-15,7.39,7.39,6.77,6.81,6.81,722125,TLMD
51,2021-01-19,6.98,7.18,6.75,7.16,7.16,469994,TLMD
52,2021-01-20,7.17,7.51,7.16,7.34,7.34,623235,TLMD
53,2021-01-21,7.39,7.57,7.19,7.56,7.56,862207,TLMD
54,2021-01-22,7.57,8.1,7.32,7.96,7.96,493988,TLMD
55,2021-01-25,8.05,8.2,7.35,7.49,7.49,530907,TLMD
56,2021-01-26,7.55,7.69,7.3,7.37,7.37,313110,TLMD
57,2021-01-27,7.37,7.72,7.121,7.43,7.43,361249,TLMD
58,2021-01-28,7.5,7.5,7.11,7.43,7.43,856855,TLMD
59,2021-01-29,7.46,7.48,7.33,7.35,7.35,471650,TLMD
60,2021-02-01,7.5,7.5,7.0901,7.11,7.11,812113,TLMD
61,2021-02-02,7.2,7.79,7.17,7.64,7.64,487702,TLMD
62,2021-02-03,7.55,7.8399,7.47,7.57,7.57,410735,TLMD
63,2021-02-04,7.68,7.73,7.26,7.26,7.26,360560,TLMD
64,2021-02-05,7.31,7.87,7.31,7.8,7.8,461108,TLMD
65,2021-02-08,7.94,8.8,7.91,8.33,8.33,527721,TLMD
66,2021-02-09,8.47,8.61,8.35,8.41,8.41,579004,TLMD
67,2021-02-10,8.7318,8.7318,8.1263,8.2,8.2,274677,TLMD
68,2021-02-11,8.28,8.49,7.91,7.95,7.95,309457,TLMD
69,2021-02-12,7.91,8.25,7.9,7.97,7.97,239724,TLMD
70,2021-02-16,8.47,8.95,8.25,8.33,8.33,793050,TLMD
71,2021-02-17,8.35,8.75,8.01,8.06,8.06,377889,TLMD
72,2021-02-18,8.03,9.34,8.0,9.0,9.0,1063360,TLMD
73,2021-02-19,9.02,9.48,8.93,8.96,8.96,575370,TLMD
74,2021-02-22,9.2,9.335,8.77,8.8,8.8,324498,TLMD
75,2021-02-23,8.66,8.93,8.45,8.49,8.49,530438,TLMD
76,2021-02-24,8.67,9.34,8.6379,8.85,8.85,475335,TLMD
77,2021-02-25,8.76,9.09,8.13,8.26,8.26,405767,TLMD
78,2021-02-26,8.38,8.38,7.815,7.95,7.95,507102,TLMD
79,2021-03-01,7.98,8.19,7.85,8.14,8.14,251782,TLMD
80,2021-03-02,8.07,8.09,7.78,7.84,7.84,364861,TLMD
81,2021-03-03,7.89,7.895,7.33,7.49,7.49,455104,TLMD
82,2021-03-04,7.49,7.49,6.35,6.94,6.94,1255975,TLMD
83,2021-03-05,7.0,7.275,6.64,7.19,7.19,743180,TLMD
84,2021-03-08,7.25,7.39,6.95,7.32,7.32,447271,TLMD
85,2021-03-09,7.26,7.5,7.2,7.3,7.3,338053,TLMD
86,2021-03-10,7.32,7.48,7.12,7.23,7.23,241932,TLMD
87,2021-03-11,7.21,7.42,7.2,7.38,7.38,219301,TLMD
88,2021-03-12,7.35,7.35,7.14,7.25,7.25,148068,TLMD
89,2021-03-15,7.31,7.48,7.1902,7.43,7.43,167945,TLMD
90,2021-03-16,7.44,7.51,7.075,7.09,7.09,351394,TLMD
91,2021-03-17,7.1,7.28,6.92,7.25,7.25,247084,TLMD
92,2021-03-18,7.14,7.34,7.12,7.24,7.24,194049,TLMD
93,2021-03-19,7.24,7.43,7.2,7.25,7.25,290024,TLMD
94,2021-03-22,7.28,7.39,7.19,7.27,7.27,220937,TLMD
95,2021-03-23,7.15,7.28,6.9,6.96,6.96,180761,TLMD
96,2021-03-24,6.97,7.07,6.57,6.67,6.67,249016,TLMD
97,2021-03-25,6.65,6.665,6.475,6.51,6.51,253032,TLMD
98,2021-03-26,6.57,6.73,6.4612,6.66,6.66,139408,TLMD
99,2021-03-29,6.87,6.87,6.22,6.25,6.25,399314,TLMD
100,2021-03-30,6.3,6.4,6.01,6.27,6.27,514786,TLMD
101,2021-03-31,6.0,6.56,5.7716,6.29,6.29,957069,TLMD
102,2021-04-01,6.35,6.38,6.09,6.11,6.11,371455,TLMD
103,2021-04-05,6.21,6.21,6.05,6.19,6.19,332609,TLMD
104,2021-04-06,6.19,6.37,6.15,6.25,6.25,261898,TLMD
105,2021-04-07,6.28,6.49,6.17,6.45,6.45,357141,TLMD
106,2021-04-08,6.49,6.81,6.44,6.71,6.71,351839,TLMD
107,2021-04-09,6.7,7.0,6.68,6.92,6.92,329657,TLMD
108,2021-04-12,6.96,7.0,6.6883,6.77,6.77,237047,TLMD
109,2021-04-13,6.76,6.9,6.69,6.78,6.78,163838,TLMD
110,2021-04-14,6.81,6.9,6.72,6.79,6.79,247492,TLMD
111,2021-04-15,6.83,7.05,6.7801,6.95,6.95,436679,TLMD
112,2021-04-16,7.06,7.07,6.59,6.65,6.65,405434,TLMD
113,2021-04-19,6.58,6.65,6.36,6.62,6.62,214067,TLMD
114,2021-04-20,6.6,6.72,6.34,6.49,6.49,173851,TLMD
115,2021-04-21,6.44,6.65,6.3,6.65,6.65,485482,TLMD
116,2021-04-22,6.66,7.02,6.62,7.0,7.0,181815,TLMD
117,2021-04-23,7.01,7.12,6.9219,6.99,6.99,201083,TLMD
118,2021-04-26,7.02,7.08,6.96,7.0,7.0,165092,TLMD
119,2021-04-27,6.98,7.07,6.95,7.0,7.0,300551,TLMD
120,2021-04-28,7.01,7.65,6.92,7.47,7.47,303592,TLMD
121,2021-04-29,7.46,7.82,7.37,7.81,7.81,410610,TLMD
122,2021-04-30,7.74,7.96,7.71,7.85,7.85,315418,TLMD
123,2021-05-03,7.86,7.875,7.44,7.52,7.52,227439,TLMD
124,2021-05-04,7.48,7.5,7.05,7.32,7.32,290468,TLMD
