,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-07-16,17.5,17.950001,16.0,16.290001,16.290001,3092900,IMGO
1,2021-07-19,16.0,16.33,16.0,16.110001,16.110001,208300,IMGO
2,2021-07-20,16.1,16.280001,16.0,16.09,16.09,161200,IMGO
3,2021-07-21,16.15,16.49,16.049999,16.290001,16.290001,59000,IMGO
4,2021-07-22,16.17,16.92,16.049999,16.49,16.49,83400,IMGO
5,2021-07-23,16.5,16.889999,16.120001,16.58,16.58,67800,IMGO
6,2021-07-26,16.440001,16.780001,14.99,16.0,16.0,51200,IMGO
7,2021-07-27,15.75,16.57,15.25,16.0,16.0,41900,IMGO
8,2021-07-28,16.51,16.84,15.87,16.200001,16.200001,23200,IMGO
9,2021-07-29,16.17,17.0,16.01,16.9,16.9,77400,IMGO
10,2021-07-30,16.98,19.945,16.33,18.32,18.32,78100,IMGO
11,2021-08-02,18.6,22.24,17.99,21.26,21.26,167700,IMGO
12,2021-08-03,21.58,26.67,21.58,22.42,22.42,116100,IMGO
13,2021-08-04,22.42,24.42,21.733999,23.98,23.98,82400,IMGO
14,2021-08-05,24.0,25.639999,23.33,24.59,24.59,94400,IMGO
15,2021-08-06,24.299999,24.780001,20.045,24.49,24.49,200600,IMGO
16,2021-08-09,23.959999,23.959999,21.844999,22.99,22.99,114000,IMGO
17,2021-08-10,23.440001,23.440001,22.620001,23.0,23.0,105600,IMGO
18,2021-08-11,22.85,23.0,21.92,22.709999,22.709999,48000,IMGO
19,2021-08-12,22.379999,22.700001,20.17,20.799999,20.799999,82400,IMGO
20,2021-08-13,20.41,22.059999,20.209999,20.700001,20.700001,98500,IMGO
21,2021-08-16,20.34,20.75,18.870001,19.65,19.65,49600,IMGO
22,2021-08-17,19.797001,20.49,18.690001,19.700001,19.700001,63900,IMGO
23,2021-08-18,19.5,20.5,19.004999,19.889999,19.889999,79700,IMGO
24,2021-08-19,19.6,20.0,19.58,19.93,19.93,60700,IMGO
25,2021-08-20,19.780001,21.77,19.780001,20.379999,20.379999,88700,IMGO
26,2021-08-23,20.469999,23.604,19.65,21.530001,21.530001,310700,IMGO
27,2021-08-24,21.360001,22.184999,20.200001,21.43,21.43,98500,IMGO
28,2021-08-25,21.690001,22.57,20.332001,22.5,22.5,86400,IMGO
29,2021-08-26,21.929001,27.74,21.895,24.57,24.57,155200,IMGO
30,2021-08-27,24.440001,26.950001,23.34,25.450001,25.450001,75400,IMGO
31,2021-08-30,25.4,26.860001,23.959999,25.18,25.18,70600,IMGO
32,2021-08-31,25.49,27.209999,25.25,26.27,26.27,66300,IMGO
33,2021-09-01,25.25,26.08,23.860001,24.75,24.75,111400,IMGO
34,2021-09-02,24.33,27.200001,24.33,26.09,26.09,84600,IMGO
35,2021-09-03,26.25,28.040001,25.440001,26.98,26.98,73200,IMGO
36,2021-09-07,27.43,35.68,26.812,28.84,28.84,358400,IMGO
37,2021-09-08,28.5,31.48,24.98,24.98,24.98,154900,IMGO
38,2021-09-09,24.98,28.59,22.48,25.200001,25.200001,164900,IMGO
39,2021-09-10,24.91,26.440001,24.771999,25.459999,25.459999,178200,IMGO
40,2021-09-13,25.629999,26.99,23.584999,25.26,25.26,164900,IMGO
41,2021-09-14,25.690001,29.385,24.65,28.01,28.01,230300,IMGO
42,2021-09-15,28.129999,28.790001,26.07,27.35,27.35,358200,IMGO
43,2021-09-16,27.35,27.35,23.559999,23.940001,23.940001,217000,IMGO
44,2021-09-17,23.370001,24.49,20.549999,21.969999,21.969999,1524600,IMGO
45,2021-09-20,21.459999,21.459999,18.219999,18.639999,18.639999,321400,IMGO
46,2021-09-21,18.639999,20.129999,17.795,18.73,18.73,286500,IMGO
47,2021-09-22,18.709999,19.690001,18.315001,19.1,19.1,73500,IMGO
48,2021-09-23,19.1,19.599001,17.790001,18.91,18.91,84600,IMGO
49,2021-09-24,18.799999,19.885,17.9,19.559999,19.559999,216000,IMGO
50,2021-09-27,19.49,21.120001,18.67,20.68,20.68,247800,IMGO
51,2021-09-28,20.23,21.045,19.190001,20.59,20.59,220100,IMGO
52,2021-09-29,20.540001,21.02,19.1,19.110001,19.110001,148400,IMGO
