,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2020-06-29,9.8,9.8,9.8,9.8,9.8,1000,INVZ
1,2020-06-30,9.82,9.82,9.82,9.82,9.82,144000,INVZ
2,2020-07-01,9.91,9.91,9.9,9.9,9.9,600,INVZ
3,2020-07-02,9.92,9.92,9.92,9.92,9.92,500,INVZ
4,2020-07-06,9.92,9.92,9.92,9.92,9.92,0,INVZ
5,2020-07-07,9.92,9.92,9.92,9.92,9.92,0,INVZ
6,2020-07-08,10.25,10.25,9.85,9.98,9.98,4300,INVZ
7,2020-07-09,9.98,10.0,9.865,9.96,9.96,4500,INVZ
8,2020-07-10,9.98,9.98,9.895,9.98,9.98,600,INVZ
9,2020-07-13,10.1,10.1,9.91,9.95,9.95,5500,INVZ
10,2020-07-14,9.93,9.962,9.868,9.868,9.868,22600,INVZ
11,2020-07-15,9.882,9.93,9.882,9.92,9.92,10600,INVZ
12,2020-07-16,9.85,10.0,9.85,9.98,9.98,7200,INVZ
13,2020-07-17,9.965,10.01,9.922,10.0,10.0,11000,INVZ
14,2020-07-20,10.1,10.1,9.92,9.94,9.94,1800,INVZ
15,2020-07-21,9.95,9.95,9.95,9.95,9.95,5600,INVZ
16,2020-07-22,10.0,10.0,9.928,9.928,9.928,18700,INVZ
17,2020-07-23,9.95,9.95,9.88,9.9,9.9,226900,INVZ
18,2020-07-24,9.97,9.975,9.95,9.975,9.975,66400,INVZ
19,2020-07-27,9.98,9.99,9.87,9.91,9.91,9800,INVZ
20,2020-07-28,9.88,10.0,9.88,9.88,9.88,800,INVZ
21,2020-07-29,9.89,10.13,9.87,9.975,9.975,238400,INVZ
22,2020-07-30,9.95,9.95,9.95,9.95,9.95,20000,INVZ
23,2020-07-31,9.95,10.1,9.85,9.85,9.85,58800,INVZ
24,2020-08-03,9.895,9.895,9.85,9.873,9.873,4800,INVZ
25,2020-08-04,10.0,10.0,9.9,9.9,9.9,29200,INVZ
26,2020-08-05,9.87,10.5,9.85,9.875,9.875,18000,INVZ
27,2020-08-06,9.875,9.875,9.875,9.875,9.875,11000,INVZ
28,2020-08-07,9.895,9.899,9.86,9.86,9.86,500,INVZ
29,2020-08-10,9.955,10.05,9.81,9.96,9.96,56200,INVZ
30,2020-08-11,10.03,10.03,9.97,9.98,9.98,3900,INVZ
31,2020-08-12,9.98,9.98,9.98,9.98,9.98,0,INVZ
32,2020-08-13,9.927,9.927,9.82,9.835,9.835,43200,INVZ
33,2020-08-14,9.865,9.91,9.8,9.82,9.82,175800,INVZ
34,2020-08-17,9.9,9.9,9.87,9.87,9.87,2900,INVZ
35,2020-08-18,9.89,9.89,9.7,9.84,9.84,330900,INVZ
36,2020-08-19,9.8,9.8,9.8,9.8,9.8,3200,INVZ
37,2020-08-20,9.85,9.86,9.82,9.82,9.82,5500,INVZ
38,2020-08-21,9.94,9.94,9.73,9.84,9.84,199700,INVZ
39,2020-08-24,9.85,9.85,9.788,9.85,9.85,5800,INVZ
40,2020-08-25,9.85,9.85,9.8,9.84,9.84,104400,INVZ
41,2020-08-26,9.84,9.85,9.832,9.85,9.85,6100,INVZ
42,2020-08-27,9.85,9.85,9.8,9.825,9.825,1056200,INVZ
43,2020-08-28,9.85,9.85,9.85,9.85,9.85,300,INVZ
44,2020-08-31,9.85,9.85,9.79,9.83,9.83,21700,INVZ
45,2020-09-01,9.815,9.85,9.815,9.85,9.85,900,INVZ
46,2020-09-02,9.9,9.9,9.825,9.825,9.825,2500,INVZ
47,2020-09-03,9.822,9.94,9.82,9.82,9.82,3900,INVZ
48,2020-09-04,9.82,9.86,9.78,9.8,9.8,58000,INVZ
49,2020-09-08,9.89,9.89,9.805,9.81,9.81,9900,INVZ
50,2020-09-09,9.85,9.85,9.82,9.85,9.85,8000,INVZ
51,2020-09-10,9.86,9.86,9.79,9.84,9.84,424200,INVZ
52,2020-09-11,9.86,9.86,9.79,9.79,9.79,663400,INVZ
53,2020-09-14,9.79,9.9,9.78,9.85,9.85,7000,INVZ
54,2020-09-15,9.78,9.84,9.78,9.84,9.84,13400,INVZ
55,2020-09-16,9.9,9.95,9.865,9.865,9.865,1900,INVZ
56,2020-09-17,9.89,9.94,9.78,9.86,9.86,3000,INVZ
57,2020-09-18,9.86,9.9,9.76,9.77,9.77,5700,INVZ
58,2020-09-21,9.75,9.88,9.75,9.88,9.88,381900,INVZ
59,2020-09-22,9.857,9.857,9.74,9.762,9.762,115200,INVZ
60,2020-09-23,9.83,9.83,9.75,9.8,9.8,3300,INVZ
61,2020-09-24,9.77,9.795,9.761,9.775,9.775,3400,INVZ
62,2020-09-25,9.76,9.81,9.76,9.81,9.81,2900,INVZ
63,2020-09-28,9.9,9.9,9.75,9.83,9.83,3700,INVZ
64,2020-09-29,9.835,9.855,9.8,9.81,9.81,803600,INVZ
65,2020-09-30,9.825,9.87,9.825,9.86,9.86,65300,INVZ
66,2020-10-01,9.86,9.9,9.85,9.9,9.9,51100,INVZ
67,2020-10-02,9.85,9.895,9.85,9.895,9.895,1600,INVZ
68,2020-10-05,9.87,9.9,9.78,9.78,9.78,2700,INVZ
69,2020-10-06,9.91,9.93,9.76,9.78,9.78,2000,INVZ
70,2020-10-07,9.92,9.92,9.76,9.77,9.77,2800,INVZ
71,2020-10-08,9.76,9.904,9.76,9.76,9.76,12200,INVZ
72,2020-10-09,9.75,9.9,9.75,9.8,9.8,1200,INVZ
73,2020-10-12,9.79,9.79,9.776,9.776,9.776,1000,INVZ
74,2020-10-13,9.825,9.825,9.75,9.82,9.82,4600,INVZ
75,2020-10-14,9.78,9.78,9.78,9.78,9.78,50700,INVZ
76,2020-10-15,9.848,9.848,9.75,9.75,9.75,83400,INVZ
77,2020-10-16,9.76,9.77,9.75,9.755,9.755,21000,INVZ
78,2020-10-19,9.755,9.79,9.755,9.77,9.77,8000,INVZ
79,2020-10-20,9.77,9.8,9.65,9.7,9.7,109600,INVZ
80,2020-10-21,9.72,9.78,9.7,9.7,9.7,38700,INVZ
81,2020-10-22,9.71,9.75,9.71,9.75,9.75,900,INVZ
82,2020-10-23,9.757,9.765,9.73,9.73,9.73,11900,INVZ
83,2020-10-26,9.741,9.741,9.7,9.73,9.73,1800,INVZ
84,2020-10-27,9.76,9.8,9.7,9.745,9.745,108800,INVZ
85,2020-10-28,9.71,9.735,9.7,9.735,9.735,2300,INVZ
86,2020-10-29,9.73,9.83,9.73,9.83,9.83,2500,INVZ
87,2020-10-30,9.74,9.785,9.74,9.785,9.785,900,INVZ
88,2020-11-02,9.74,9.74,9.7,9.72,9.72,91800,INVZ
89,2020-11-03,9.77,9.77,9.72,9.74,9.74,2300,INVZ
90,2020-11-04,9.78,9.9,9.77,9.77,9.77,12000,INVZ
91,2020-11-05,9.83,9.83,9.76,9.76,9.76,500,INVZ
92,2020-11-06,9.74,9.81,9.73,9.765,9.765,5800,INVZ
93,2020-11-09,9.86,9.86,9.77,9.846,9.846,6000,INVZ
94,2020-11-10,9.8,9.8,9.79,9.79,9.79,6300,INVZ
95,2020-11-11,9.79,9.796,9.77,9.79,9.79,1000,INVZ
96,2020-11-12,9.8,9.83,9.77,9.77,9.77,43400,INVZ
