,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-04-28,12.0,12.0,12.0,12.0,12.0,100,AVAH
1,2021-04-29,12.0,12.18,11.12,11.53,11.53,12116200,AVAH
2,2021-04-30,11.58,11.79,11.32,11.68,11.68,2062400,AVAH
3,2021-05-03,11.78,12.0,11.58,11.8,11.8,1255400,AVAH
4,2021-05-04,11.8,12.0,11.455,11.75,11.75,1379700,AVAH
5,2021-05-05,11.85,11.95,11.46,11.5,11.5,3577300,AVAH
6,2021-05-06,11.46,11.58,10.57,11.5,11.5,1655600,AVAH
7,2021-05-07,11.5,11.785,11.09,11.53,11.53,644700,AVAH
8,2021-05-10,11.59,11.73,11.12,11.6,11.6,472900,AVAH
9,2021-05-11,11.38,11.51,11.02,11.21,11.21,375500,AVAH
10,2021-05-12,11.17,11.205,10.34,10.51,10.51,684200,AVAH
11,2021-05-13,10.63,10.63,9.8,10.06,10.06,1070500,AVAH
12,2021-05-14,10.0,10.55,9.82,10.5,10.5,682100,AVAH
13,2021-05-17,10.58,10.73,10.15,10.52,10.52,606700,AVAH
14,2021-05-18,10.52,11.04,10.2,10.83,10.83,1339900,AVAH
15,2021-05-19,10.91,11.04,10.45,10.93,10.93,923600,AVAH
16,2021-05-20,11.0,11.41,10.9,11.39,11.39,739700,AVAH
17,2021-05-21,11.55,11.76,11.33,11.76,11.76,694800,AVAH
18,2021-05-24,11.73,11.88,11.49,11.5,11.5,1067600,AVAH
19,2021-05-25,11.5,11.55,11.2,11.29,11.29,834200,AVAH
20,2021-05-26,11.28,11.52,11.1,11.48,11.48,680100,AVAH
21,2021-05-27,11.54,11.84,11.29,11.65,11.65,570000,AVAH
22,2021-05-28,11.73,11.73,11.28,11.6,11.6,422100,AVAH
23,2021-06-01,11.6,11.89,11.33,11.86,11.86,2109500,AVAH
24,2021-06-02,12.0,12.37,11.05,11.79,11.79,2057800,AVAH
25,2021-06-03,11.8,11.875,11.535,11.67,11.67,494600,AVAH
