,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2020-11-24,10.617,10.617,10.02,10.02,10.02,1100,SHCR
1,2020-11-25,10.02,10.08,10.02,10.05,10.05,2400,SHCR
2,2020-11-27,10.88,10.88,9.97,9.97,9.97,3900,SHCR
3,2020-11-30,10.0,10.752,9.99,10.3,10.3,36900,SHCR
4,2020-12-01,10.06,10.3,10.05,10.15,10.15,27400,SHCR
5,2020-12-02,10.02,10.28,10.02,10.28,10.28,20300,SHCR
6,2020-12-03,10.21,10.28,10.1,10.175,10.175,7900,SHCR
7,2020-12-04,10.24,10.24,10.0,10.095,10.095,4400,SHCR
8,2020-12-07,10.21,10.4,10.1,10.4,10.4,8300,SHCR
9,2020-12-08,10.4,10.47,10.11,10.39,10.39,72600,SHCR
10,2020-12-09,10.35,10.35,10.2,10.2,10.2,40100,SHCR
11,2020-12-10,10.25,10.49,10.18,10.3,10.3,25200,SHCR
12,2020-12-11,10.2,10.743,10.2,10.554,10.554,341600,SHCR
13,2020-12-14,10.92,10.92,10.29,10.36,10.36,152100,SHCR
14,2020-12-15,10.536,10.536,10.28,10.3,10.3,309600,SHCR
15,2020-12-16,10.3,10.375,10.29,10.375,10.375,32700,SHCR
16,2020-12-17,10.49,10.595,10.35,10.58,10.58,173400,SHCR
17,2020-12-18,10.73,10.73,10.5,10.51,10.51,85000,SHCR
18,2020-12-21,10.57,10.65,10.391,10.54,10.54,24700,SHCR
19,2020-12-22,10.56,10.688,10.455,10.5,10.5,86700,SHCR
20,2020-12-23,10.5,10.66,10.47,10.497,10.497,180700,SHCR
21,2020-12-24,10.5,10.8,10.5,10.67,10.67,568600,SHCR
22,2020-12-28,11.19,11.2,10.72,10.79,10.79,730300,SHCR
23,2020-12-29,10.96,11.0,10.62,10.8,10.8,305700,SHCR
24,2020-12-30,10.61,10.76,10.602,10.7,10.7,133700,SHCR
25,2020-12-31,10.75,10.79,10.44,10.54,10.54,397400,SHCR
