,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2019-02-28,12.8,14.5,12.7,14.49,14.49,1166700,KLDO
1,2019-03-01,14.14,15.52,14.14,14.77,14.77,211000,KLDO
2,2019-03-04,14.84,15.52,14.8,15.0,15.0,205900,KLDO
3,2019-03-05,15.0,15.086,14.03,14.26,14.26,226600,KLDO
4,2019-03-06,14.2,14.5,12.85,13.3,13.3,181700,KLDO
5,2019-03-07,13.2,13.465,12.61,12.71,12.71,137100,KLDO
6,2019-03-08,12.71,13.0,12.5,12.83,12.83,106000,KLDO
7,2019-03-11,12.75,13.88,12.67,13.5,13.5,104600,KLDO
8,2019-03-12,15.2,15.2,13.01,13.43,13.43,26000,KLDO
9,2019-03-13,13.4,13.9,13.069,13.55,13.55,102700,KLDO
10,2019-03-14,13.49,13.9,13.066,13.51,13.51,174800,KLDO
11,2019-03-15,13.41,13.735,13.09,13.5,13.5,68300,KLDO
12,2019-03-18,13.56,13.623,12.55,13.2,13.2,70200,KLDO
13,2019-03-19,13.45,13.76,13.05,13.5,13.5,178800,KLDO
14,2019-03-20,13.36,14.278,13.36,13.75,13.75,129300,KLDO
15,2019-03-21,13.55,13.65,13.34,13.52,13.52,25100,KLDO
16,2019-03-22,13.31,14.21,13.31,13.8,13.8,59000,KLDO
17,2019-03-25,14.3,14.3,13.5,13.56,13.56,92900,KLDO
18,2019-03-26,13.65,14.36,13.19,13.89,13.89,135200,KLDO
19,2019-03-27,13.94,14.71,13.8,14.48,14.48,86000,KLDO
20,2019-03-28,14.41,14.594,13.84,14.01,14.01,117800,KLDO
21,2019-03-29,13.99,14.61,13.961,14.5,14.5,119400,KLDO
22,2019-04-01,14.52,14.52,13.8,14.0,14.0,59000,KLDO
23,2019-04-02,14.1,14.34,13.93,13.95,13.95,48600,KLDO
24,2019-04-03,13.91,14.53,13.659,13.93,13.93,88000,KLDO
25,2019-04-04,13.94,14.0,13.63,13.86,13.86,32100,KLDO
26,2019-04-05,13.86,14.39,13.5,14.15,14.15,25800,KLDO
27,2019-04-08,14.04,15.0,13.93,15.0,15.0,68700,KLDO
28,2019-04-09,14.95,14.95,14.33,14.51,14.51,37600,KLDO
29,2019-04-10,14.265,14.75,13.375,13.55,13.55,101300,KLDO
30,2019-04-11,14.01,14.6,13.45,14.21,14.21,49500,KLDO
31,2019-04-12,14.3,14.5,13.295,14.27,14.27,53900,KLDO
32,2019-04-15,14.3,15.0,14.07,14.91,14.91,36200,KLDO
33,2019-04-16,14.78,14.85,13.85,14.17,14.17,52800,KLDO
34,2019-04-17,14.24,14.9,14.095,14.83,14.83,38200,KLDO
35,2019-04-18,14.75,15.956,14.5,14.78,14.78,85400,KLDO
36,2019-04-22,14.7,15.588,14.52,15.1,15.1,41000,KLDO
37,2019-04-23,15.25,16.0,14.744,14.95,14.95,52200,KLDO
38,2019-04-24,15.12,15.31,14.6,15.02,15.02,30000,KLDO
39,2019-04-25,14.87,15.24,14.82,14.94,14.94,14200,KLDO
40,2019-04-26,14.94,15.13,13.83,14.1,14.1,25800,KLDO
41,2019-04-29,14.65,14.68,14.051,14.51,14.51,24200,KLDO
42,2019-04-30,14.47,14.76,14.21,14.36,14.36,6700,KLDO
43,2019-05-01,14.48,14.665,14.17,14.57,14.57,12700,KLDO
44,2019-05-02,14.07,14.79,14.07,14.3,14.3,5900,KLDO
45,2019-05-03,14.39,14.67,14.042,14.45,14.45,10800,KLDO
46,2019-05-06,14.08,14.94,14.08,14.52,14.52,13400,KLDO
47,2019-05-07,14.55,15.1,14.42,14.53,14.53,11800,KLDO
48,2019-05-08,14.54,15.1,14.54,15.0,15.0,20700,KLDO
49,2019-05-09,14.66,15.08,14.18,14.55,14.55,60600,KLDO
50,2019-05-10,14.58,15.1,14.25,15.1,15.1,12900,KLDO
51,2019-05-13,14.68,15.1,13.569,14.94,14.94,14400,KLDO
52,2019-05-14,14.71,15.73,14.71,15.2,15.2,45900,KLDO
53,2019-05-15,15.07,15.259,14.36,14.7,14.7,24100,KLDO
54,2019-05-16,14.53,14.8,14.256,14.59,14.59,21800,KLDO
55,2019-05-17,14.44,14.83,14.17,14.82,14.82,20000,KLDO
