,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2020-09-03,3.47,3.47,2.9,3.0,3.0,13300,AKU
1,2020-09-04,3.0,3.06,2.75,3.02,3.02,12800,AKU
2,2020-09-08,2.7,3.0,2.7,2.9,2.9,9200,AKU
3,2020-09-09,2.86,3.0,2.86,2.99,2.99,8500,AKU
4,2020-09-10,2.96,3.026,2.9,2.9,2.9,16200,AKU
5,2020-09-11,3.05,3.05,3.05,3.05,3.05,400,AKU
6,2020-09-14,3.04,3.05,2.87,2.9,2.9,137400,AKU
7,2020-09-15,3.04,3.048,2.85,2.85,2.85,302500,AKU
8,2020-09-16,2.925,3.0,2.86,3.0,3.0,501100,AKU
9,2020-09-17,3.0,3.0,2.97,2.99,2.99,1600,AKU
10,2020-09-18,3.013,3.04,3.0,3.03,3.03,72800,AKU
11,2020-09-21,2.95,3.08,2.88,3.0,3.0,23600,AKU
12,2020-09-22,3.0,3.01,3.0,3.0,3.0,7900,AKU
13,2020-09-23,3.0,3.02,2.96,3.0,3.0,95500,AKU
14,2020-09-24,2.99,3.05,2.98,3.05,3.05,30100,AKU
15,2020-09-25,3.08,3.1,3.079,3.09,3.09,14000,AKU
16,2020-09-28,3.1,3.19,2.92,3.19,3.19,71700,AKU
17,2020-09-29,3.18,3.24,3.18,3.24,3.24,18800,AKU
18,2020-09-30,3.23,3.25,3.15,3.25,3.25,12200,AKU
19,2020-10-01,3.26,3.27,3.22,3.27,3.27,32700,AKU
20,2020-10-02,3.15,3.25,3.15,3.25,3.25,6700,AKU
21,2020-10-05,3.252,3.29,3.25,3.29,3.29,15400,AKU
22,2020-10-06,3.15,3.34,3.14,3.29,3.29,18100,AKU
23,2020-10-07,3.04,3.32,3.04,3.3,3.3,1357300,AKU
24,2020-10-08,3.25,3.34,3.25,3.3,3.3,37800,AKU
25,2020-10-09,3.32,3.49,3.32,3.49,3.49,174300,AKU
26,2020-10-12,3.49,3.49,3.49,3.49,3.49,0,AKU
27,2020-10-13,3.49,3.5,3.35,3.48,3.48,341800,AKU
28,2020-10-14,3.4,3.43,3.33,3.4,3.4,38500,AKU
29,2020-10-15,3.37,3.54,3.28,3.5,3.5,116100,AKU
30,2020-10-16,3.58,3.59,3.4,3.53,3.53,108800,AKU
31,2020-10-19,3.4,3.57,3.4,3.5,3.5,158700,AKU
32,2020-10-20,3.52,3.64,3.51,3.62,3.62,362700,AKU
33,2020-10-21,3.62,3.62,3.55,3.6,3.6,136100,AKU
34,2020-10-22,3.6,3.64,3.6,3.6,3.6,11800,AKU
35,2020-10-23,3.6,3.78,3.6,3.74,3.74,361600,AKU
36,2020-10-26,3.77,3.77,3.57,3.6,3.6,12100,AKU
37,2020-10-27,3.6,3.665,3.6,3.66,3.66,84100,AKU
38,2020-10-28,3.68,3.68,3.55,3.61,3.61,162700,AKU
39,2020-10-29,3.585,3.585,3.51,3.58,3.58,115100,AKU
40,2020-10-30,3.54,3.68,3.515,3.68,3.68,61600,AKU
41,2020-11-02,3.73,3.74,3.59,3.74,3.74,74300,AKU
42,2020-11-03,3.7,3.71,3.6,3.71,3.71,21200,AKU
43,2020-11-04,3.71,3.71,3.59,3.71,3.71,107400,AKU
44,2020-11-05,3.68,3.7,3.41,3.58,3.58,133900,AKU
45,2020-11-06,3.57,3.611,3.55,3.57,3.57,14600,AKU
46,2020-11-09,3.59,3.66,3.57,3.6,3.6,73300,AKU
47,2020-11-10,3.64,3.64,3.5,3.55,3.55,113800,AKU
48,2020-11-11,3.57,3.63,3.44,3.6,3.6,106900,AKU
49,2020-11-12,3.53,3.64,3.53,3.62,3.62,53500,AKU
50,2020-11-13,3.64,3.64,3.5,3.51,3.51,64400,AKU
51,2020-11-16,3.57,3.575,3.27,3.46,3.46,41500,AKU
52,2020-11-17,3.42,3.42,3.19,3.32,3.32,32200,AKU
53,2020-11-18,3.33,3.33,3.12,3.21,3.21,53800,AKU
54,2020-11-19,3.13,3.2,3.07,3.2,3.2,19200,AKU
55,2020-11-20,3.0,3.32,3.0,3.3,3.3,66900,AKU
56,2020-11-23,3.33,3.35,3.25,3.25,3.25,748200,AKU
57,2020-11-24,3.31,3.34,3.19,3.34,3.34,18300,AKU
58,2020-11-25,3.33,3.35,3.24,3.33,3.33,11600,AKU
59,2020-11-27,3.21,3.31,3.2,3.29,3.29,33800,AKU
60,2020-11-30,3.23,3.33,3.23,3.29,3.29,41000,AKU
61,2020-12-01,3.29,3.33,3.24,3.26,3.26,29100,AKU
62,2020-12-02,3.29,3.31,3.23,3.29,3.29,17200,AKU
63,2020-12-03,3.26,3.3,3.18,3.25,3.25,42900,AKU
64,2020-12-04,3.28,3.28,3.2,3.27,3.27,11900,AKU
65,2020-12-07,3.27,3.3,3.2,3.27,3.27,30300,AKU
66,2020-12-08,3.21,3.25,3.17,3.21,3.21,70700,AKU
67,2020-12-09,3.174,3.25,3.145,3.25,3.25,900,AKU
68,2020-12-10,3.2,3.21,3.12,3.17,3.17,53900,AKU
69,2020-12-11,3.11,3.14,3.0,3.08,3.08,263500,AKU
70,2020-12-14,3.05,3.11,3.0,3.1,3.1,66500,AKU
71,2020-12-15,3.05,3.18,3.05,3.1,3.1,162600,AKU
72,2020-12-16,3.1,3.13,3.09,3.09,3.09,178900,AKU
73,2020-12-17,3.1,3.13,3.07,3.09,3.09,72800,AKU
74,2020-12-18,3.1,3.11,3.08,3.1,3.1,31500,AKU
75,2020-12-21,3.05,3.1,3.0,3.09,3.09,60300,AKU
