,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-08-10,16.25,19.440001,13.65,15.9,15.9,1522100,ELYM
1,2021-08-11,16.290001,22.889999,15.288,20.629999,20.629999,662100,ELYM
2,2021-08-12,18.1,18.764,16.16,17.34,17.34,193000,ELYM
3,2021-08-13,16.799999,17.34,14.27,14.45,14.45,135100,ELYM
4,2021-08-16,14.76,19.99,14.5,15.67,15.67,1241400,ELYM
5,2021-08-17,16.049999,17.138,15.25,16.83,16.83,168900,ELYM
6,2021-08-18,16.32,17.093,15.721,16.139999,16.139999,162800,ELYM
7,2021-08-19,16.01,16.889999,15.27,16.75,16.75,100000,ELYM
8,2021-08-20,16.84,18.843,15.76,18.09,18.09,80700,ELYM
9,2021-08-23,18.41,20.5,17.450001,20.1,20.1,207000,ELYM
10,2021-08-24,20.450001,20.754,19.0,20.49,20.49,157200,ELYM
11,2021-08-25,19.719999,21.9,19.18,21.450001,21.450001,314300,ELYM
12,2021-08-26,21.200001,23.200001,20.246,22.25,22.25,127700,ELYM
13,2021-08-27,22.02,29.34,20.700001,26.790001,26.790001,265600,ELYM
14,2021-08-30,29.360001,29.690001,23.1,28.0,28.0,242800,ELYM
15,2021-08-31,28.0,28.16,24.040001,25.690001,25.690001,506000,ELYM
16,2021-09-01,25.290001,28.0,25.068001,26.9,26.9,294200,ELYM
17,2021-09-02,27.299999,28.389999,26.132,27.35,27.35,116100,ELYM
18,2021-09-03,27.35,28.780001,26.302,27.559999,27.559999,215800,ELYM
19,2021-09-07,27.969999,29.48,27.08,28.610001,28.610001,180100,ELYM
20,2021-09-08,28.85,28.85,22.67,23.530001,23.530001,352200,ELYM
21,2021-09-09,23.780001,26.42,22.951,25.620001,25.620001,158800,ELYM
22,2021-09-10,25.4,28.42,24.530001,25.99,25.99,183300,ELYM
23,2021-09-13,26.07,26.684999,22.190001,22.799999,22.799999,439600,ELYM
24,2021-09-14,22.82,25.290001,22.0,23.24,23.24,112200,ELYM
25,2021-09-15,23.049999,25.540001,22.455,24.9,24.9,141200,ELYM
26,2021-09-16,24.690001,25.299999,23.219999,24.040001,24.040001,77400,ELYM
27,2021-09-17,23.610001,24.280001,18.08,18.77,18.77,1006200,ELYM
28,2021-09-20,17.99,18.309999,16.4,16.4,16.4,108200,ELYM
29,2021-09-21,16.42,17.0,15.0,15.23,15.23,348200,ELYM
30,2021-09-22,15.23,16.566999,15.1,15.81,15.81,103200,ELYM
31,2021-09-23,15.89,17.620001,15.83,16.629999,16.629999,158900,ELYM
32,2021-09-24,16.370001,17.6,15.66,15.87,15.87,209100,ELYM
33,2021-09-27,15.8,16.67,15.11,16.540001,16.540001,210400,ELYM
34,2021-09-28,16.25,18.16,15.251,16.799999,16.799999,349800,ELYM
35,2021-09-29,16.74,17.639999,16.459999,17.23,17.23,182800,ELYM
36,2021-09-30,17.360001,18.09,17.1,17.98,17.98,96500,ELYM
37,2021-10-01,18.1,19.66,17.620001,19.48,19.48,64500,ELYM
38,2021-10-04,19.48,19.9,18.638,19.59,19.59,66100,ELYM
39,2021-10-05,19.49,20.91,19.245001,20.469999,20.469999,83700,ELYM
40,2021-10-06,20.27,20.688999,17.43,17.83,17.83,128700,ELYM
41,2021-10-07,17.84,18.5,15.0,15.26,15.26,181200,ELYM
42,2021-10-08,15.53,16.444,13.88,14.01,14.01,93300,ELYM
