,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-02 16:15:38,2022-02-28,LOOP,Champagne Stephen,CTO,P - Purchase,6.63,5800,5800,New,38454.0,,,,,LOOP
1,,2020-10-14 17:56:50,2020-10-14,LOOP,Solomita Daniel,"Pres, CEO, 10%",P - Purchase,7.31,10000,210000,+5%,73080.0,,,,,LOOP
2,,2020-10-14 14:40:33,2020-10-14,LOOP,Gentiletti Nelson,"COO, CFO",P - Purchase,7.31,5000,12083,+71%,36525.0,,,,,LOOP
3,,2020-10-14 14:20:45,2020-10-13,LOOP,Sellyn Laurence G.,Dir,P - Purchase,8.04,10000,11695,+590%,80390.0,,,,,LOOP
4,,2020-10-14 13:56:56,2020-10-13,LOOP,Stubina Jay Howard,Dir,P - Purchase,8.58,10000,85000,+13%,85800.0,,,,,LOOP
5,D,2020-06-30 18:05:47,2020-06-29,LOOP,Horn Sidney Mortimer,Former Director,M - OptEx,0.0,18305,23510,+352%,0.0,,,,,LOOP
6,D,2019-11-27 21:52:06,2019-10-15,LOOP,Solomita Daniel,"Pres, CEO, 10%",A - Grant,0.0,4000000,22600000,+22%,0.0,,,,,LOOP
7,D,2019-11-27 21:52:06,2016-11-15,LOOP,Solomita Daniel,"Pres, CEO, 10%",P - Purchase,0.0,1600000,22600000,+8%,160.0,,,,,LOOP
8,,2019-07-16 16:16:11,2019-07-15,LOOP,Horn Sidney Mortimer,Dir,S - Sale,12.0,-5000,5205,-49%,-60000.0,,,,,LOOP
9,AD,2019-07-16 16:15:48,2019-06-28,LOOP,Horn Sidney Mortimer,Dir,M - OptEx,0.0,10205,10205,New,0.0,,,,,LOOP
10,D,2019-07-02 16:30:30,2019-06-28,LOOP,Murphy Leslie A,Former Director,M - OptEx,0.0,13342,22116,+152%,0.0,,,,,LOOP
11,D,2019-07-02 16:30:13,2019-06-28,LOOP,Higgins Shaun B,Former Director,M - OptEx,0.0,13342,19550,+215%,0.0,,,,,LOOP
12,D,2019-07-01 21:36:10,2019-06-28,LOOP,Horn Sidney Mortimer,Dir,M - OptEx,0.0,10205,10205,New,0.0,,,,,LOOP
