,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2021-09-28 21:45:41,2021-09-27,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,10.21,-28567,9114155,0%,-291696.0,,,,,OTRK
1,M,2021-09-24 21:45:30,2021-09-22,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,9.97,-45000,9142722,0%,-448824.0,,,,,OTRK
2,M,2021-09-21 21:45:42,2021-09-17,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,10.63,-45000,9187722,0%,-478439.0,,,,,OTRK
3,M,2021-09-16 21:45:38,2021-09-14,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,10.69,-45000,9232722,0%,-481221.0,,,,,OTRK
4,M,2021-09-13 21:45:49,2021-09-09,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,11.28,-45000,9277722,0%,-507510.0,,,,,OTRK
5,M,2021-09-08 21:51:59,2021-09-03,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,11.69,-45000,9322722,0%,-526215.0,,,,,OTRK
6,M,2021-09-02 21:46:10,2021-08-31,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,12.1,-45000,9367722,0%,-544398.0,,,,,OTRK
7,M,2021-08-31 21:45:38,2021-08-27,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,11.69,-30000,9412722,0%,-350738.0,,,,,OTRK
8,M,2021-08-26 21:45:45,2021-08-24,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,11.33,-45000,9442722,0%,-509854.0,,,,,OTRK
9,M,2021-08-23 21:45:43,2021-08-19,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,11.7,-45000,9487722,0%,-526467.0,,,,,OTRK
10,M,2021-08-18 21:45:57,2021-08-16,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,21.98,-45000,9532722,0%,-988876.0,,,,,OTRK
11,D,2021-08-13 21:46:07,2021-08-11,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale+OE,27.12,-99693,9577722,-1%,-2703525.0,,,,,OTRK
12,,2021-07-20 21:45:53,2021-07-20,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,27.93,-7063,9114155,0%,-197285.0,,,,,OTRK
13,M,2021-07-19 21:47:01,2021-07-14,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,28.07,-33000,9121218,0%,-926149.0,,,,,OTRK
14,M,2021-07-14 21:45:25,2021-07-12,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,29.94,-33000,9154218,0%,-987971.0,,,,,OTRK
15,M,2021-07-09 21:45:48,2021-07-07,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,30.96,-33000,9187218,0%,-1021721.0,,,,,OTRK
16,M,2021-07-06 21:45:47,2021-07-01,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,31.84,-33000,9220218,0%,-1050780.0,,,,,OTRK
17,M,2021-06-30 21:45:28,2021-06-28,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,33.75,-33000,9253218,0%,-1113779.0,,,,,OTRK
18,M,2021-06-25 21:45:39,2021-06-23,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,34.25,-33000,9286218,0%,-1130119.0,,,,,OTRK
19,M,2021-06-22 21:45:37,2021-06-18,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,33.9,-33000,9319218,0%,-1118795.0,,,,,OTRK
20,M,2021-06-17 21:45:45,2021-06-15,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,33.18,-33000,9352218,0%,-1095062.0,,,,,OTRK
21,M,2021-06-14 21:45:25,2021-06-10,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,32.8,-33000,9385218,0%,-1082374.0,,,,,OTRK
22,M,2021-06-09 21:45:36,2021-06-07,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,35.57,-94294,9418218,-1%,-3353923.0,,,,,OTRK
