,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-10 08:11:15,2022-03-09,CCMP,Wild Geoffrey,Dir,A - Grant,0.0,973,12047,+9%,0.0,,,,,CCMP
1,,2022-03-10 08:10:31,2022-03-09,CCMP,Whitney Susan M,Dir,A - Grant,0.0,973,12047,+9%,0.0,,,,,CCMP
2,,2022-03-10 08:09:44,2022-03-09,CCMP,Roby Anne K,Dir,A - Grant,0.0,973,1897,+105%,0.0,,,,,CCMP
3,,2022-03-10 08:08:49,2022-03-09,CCMP,Reilly Paul J,Dir,A - Grant,0.0,973,6647,+17%,0.0,,,,,CCMP
4,,2022-03-10 08:08:00,2022-03-09,CCMP,Noglows William P,Dir,A - Grant,0.0,973,66072,+1%,0.0,,,,,CCMP
5,,2022-03-10 08:07:07,2022-03-09,CCMP,Klein Barbara A,Dir,A - Grant,0.0,973,24988,+4%,0.0,,,,,CCMP
6,,2022-03-10 08:06:14,2022-03-09,CCMP,Hill Richard,Dir,A - Grant,0.0,973,8297,+13%,0.0,,,,,CCMP
7,,2022-01-04 08:16:36,2021-12-31,CCMP,Woodland Daniel D.,"VP, Pres of EC",A - Grant,0.0,84,10511,+1%,0.0,,,,,CCMP
8,,2022-01-04 08:14:34,2021-12-31,CCMP,Thorp Eleanor Kate,"VP, HR",A - Grant,0.0,70,7174,+1%,0.0,,,,,CCMP
9,,2022-01-04 08:13:58,2021-12-31,CCMP,Li David H,"Pres, CEO",A - Grant,0.0,84,93678,0%,0.0,,,,,CCMP
10,,2022-01-04 08:13:23,2021-12-31,CCMP,Dysard Jeffrey Michael,"VP, Pres of Perf. Material",A - Grant,0.0,60,11195,+1%,0.0,,,,,CCMP
11,,2022-01-04 08:12:41,2021-12-31,CCMP,Eckstein Bernstein H Carol,"VP, Sec, GC",A - Grant,0.0,58,46233,0%,0.0,,,,,CCMP
12,D,2021-12-22 17:27:00,2021-12-22,CCMP,Klein Barbara A,Dir,M - OptEx,42.34,27638,24015,-763%,1170197.0,,,,,CCMP
13,D,2021-12-22 17:27:00,2021-12-22,CCMP,Klein Barbara A,Dir,S - Sale+OE,185.23,-27638,24015,-54%,-5119395.0,,,,,CCMP
14,,2021-12-21 10:12:11,2021-12-21,CCMP,Woodland Daniel D.,"VP, Pres of EC",G - Gift,0.0,-600,10426,-5%,-0.0,,,,,CCMP
15,D,2021-12-21 08:16:38,2021-12-20,CCMP,Press Jeanette A.,"Interim CFO, Corp Controller",M - OptEx,145.58,347,2583,+16%,50516.0,,,,,CCMP
16,D,2021-12-20 17:48:07,2021-12-20,CCMP,Dysard Jeffrey Michael,"VP, Pres of Perf. Material",M - OptEx,105.71,11059,11135,>999%,1169022.0,,,,,CCMP
17,D,2021-12-20 17:48:07,2021-12-20,CCMP,Dysard Jeffrey Michael,"VP, Pres of Perf. Material",S - Sale+OE,184.6,-11059,11135,-50%,-2041493.0,,,,,CCMP
18,D,2021-12-20 17:45:51,2021-12-20,CCMP,Mumford Colleen Elizabeth,"VP, Marketing, Communications",M - OptEx,75.63,6942,2810,-168%,525053.0,,,,,CCMP
19,D,2021-12-20 17:45:51,2021-12-20,CCMP,Mumford Colleen Elizabeth,"VP, Marketing, Communications",S - Sale+OE,184.63,-6942,2810,-71%,-1281696.0,,,,,CCMP
20,D,2021-12-20 17:44:34,2021-12-20,CCMP,Woodland Daniel D.,"VP, Pres of EC",M - OptEx,53.99,24705,11026,-181%,1333875.0,,,,,CCMP
21,D,2021-12-20 17:44:34,2021-12-20,CCMP,Woodland Daniel D.,"VP, Pres of EC",S - Sale+OE,184.35,-33932,11026,-75%,-6255194.0,,,,,CCMP
22,D,2021-12-20 17:43:35,2021-12-20,CCMP,Li David H,"Pres, CEO",M - OptEx,60.27,20150,93594,+27%,1214441.0,,,,,CCMP
23,D,2021-12-20 17:43:35,2021-12-20,CCMP,Li David H,"Pres, CEO",S - Sale+OE,184.4,-20150,93594,-18%,-3715696.0,,,,,CCMP
24,,2021-12-14 13:25:03,2021-12-12,CCMP,Li David H,"Pres, CEO",F - Tax,144.99,-175,93594,0%,-25373.0,,,,,CCMP
25,D,2021-12-07 14:27:50,2021-12-06,CCMP,Woodland Daniel D.,"VP, Pres of EC",A - Grant,0.0,2274,20253,+13%,0.0,,,,,CCMP
26,DM,2021-12-07 14:27:50,2021-12-03,CCMP,Woodland Daniel D.,"VP, Pres of EC",F - Tax,140.21,-688,20253,-3%,-96466.0,,,,,CCMP
27,D,2021-12-07 14:26:59,2021-12-06,CCMP,Thorp Eleanor Kate,"VP, HR",A - Grant,0.0,1478,7104,+26%,0.0,,,,,CCMP
28,D,2021-12-07 14:26:02,2021-12-06,CCMP,Press Jeanette A.,"Interim CFO, Corp Controller",A - Grant,0.0,795,2236,+55%,0.0,,,,,CCMP
