,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-25 17:09:41,2022-02-24,SHLS,Solon Dean,"Dir, 10%",A - Grant,17.23,5598,50078557,0%,96454.0,,,,,SHLS
1,,2022-02-25 17:05:53,2022-02-24,SHLS,Whitaker Jason R,CEO,A - Grant,17.23,8117,699944,+1%,139856.0,,,,,SHLS
2,,2022-02-03 21:49:30,2022-02-01,SHLS,Neal Alan D,CTO,A - Grant,17.23,4353,8026,+119%,75002.0,,,,,SHLS
3,,2022-02-03 21:17:00,2022-02-01,SHLS,White John Joseph Jr,COO,A - Grant,17.23,2333,98621,+2%,40198.0,,,,,SHLS
4,,2022-02-03 21:16:44,2022-02-01,SHLS,Peetz Mehgan,GC,A - Grant,17.23,6531,65836,+11%,112529.0,,,,,SHLS
5,,2022-02-03 21:16:25,2022-02-01,SHLS,Garton Philip A,CFO,A - Grant,17.23,5598,127842,+5%,96454.0,,,,,SHLS
6,A,2021-12-22 15:39:00,2021-12-17,SHLS,White John Joseph Jr,COO,S - Sale,26.1,-44318,96288,-32%,-1156686.0,,,,,SHLS
7,A,2021-12-22 15:36:21,2021-12-17,SHLS,Garton Philip A,CFO,S - Sale,26.11,-100000,122244,-45%,-2610831.0,,,,,SHLS
8,,2021-12-21 17:55:24,2021-12-17,SHLS,White John Joseph Jr,COO,D - Sale to issuer,26.1,-44318,96288,-32%,-1156686.0,,,,,SHLS
9,,2021-12-21 17:51:24,2021-12-17,SHLS,Garton Philip A,CFO,D - Sale to issuer,26.11,-100000,122244,-45%,-2610831.0,,,,,SHLS
10,D,2021-12-09 21:39:12,2021-12-07,SHLS,Garton Philip A,CFO,C - Converted deriv,0.0,420000,861951,-33%,0.0,,,,,SHLS
11,D,2021-12-09 21:38:56,2021-12-07,SHLS,Solon Dean,"Dir, 10%",C - Converted deriv,0.0,12000000,100145918,-11%,0.0,,,,,SHLS
12,D,2021-12-09 21:38:00,2021-12-07,SHLS,White John Joseph Jr,COO,C - Converted deriv,0.0,265908,362201,-42%,0.0,,,,,SHLS
13,D,2021-12-09 21:36:23,2021-12-07,SHLS,Whitaker Jason R,CEO,C - Converted deriv,0.0,1200000,1508007,-44%,0.0,,,,,SHLS
14,,2021-11-10 09:12:09,2021-11-08,SHLS,Garton Philip A,CFO,A - Grant,0.0,12244,12244,New,0.0,,,,,SHLS
15,,2021-11-10 09:11:54,2021-11-08,SHLS,Whitaker Jason R,CEO,A - Grant,0.0,91827,91827,New,0.0,,,,,SHLS
16,,2021-11-10 09:09:23,2021-11-08,SHLS,White John Joseph Jr,COO,A - Grant,0.0,7652,7652,New,0.0,,,,,SHLS
17,,2021-11-10 09:09:08,2021-11-08,SHLS,Neal Alan D,CTO,A - Grant,0.0,3673,3673,New,0.0,,,,,SHLS
18,,2021-11-10 09:08:18,2021-11-08,SHLS,Peetz Mehgan,GC,A - Grant,0.0,15305,59305,+35%,0.0,,,,,SHLS
19,,2021-08-23 19:32:35,2021-08-19,SHLS,Volpe Toni,Dir,A - Grant,0.0,1701,10156,+20%,0.0,,,,,SHLS
20,,2021-08-23 19:31:29,2021-08-19,SHLS,Daul Ty P.,Dir,A - Grant,0.0,1701,10156,+20%,0.0,,,,,SHLS
21,,2021-08-23 19:31:19,2021-08-19,SHLS,Jonna Peter Joseph,Dir,A - Grant,0.0,7617,7617,New,0.0,,,,,SHLS
22,,2021-08-23 19:31:01,2021-08-19,SHLS,Forth John Bradford,Dir,A - Grant,0.0,22851,397851,+6%,0.0,,,,,SHLS
23,,2021-08-23 19:30:51,2021-08-19,SHLS,Sundberg Lori S,Dir,A - Grant,0.0,1701,10156,+20%,0.0,,,,,SHLS
24,,2021-08-23 19:30:40,2021-08-19,SHLS,Wilver Peter M,Dir,A - Grant,0.0,7617,11617,+190%,0.0,,,,,SHLS
25,D,2021-07-27 16:54:37,2021-07-23,SHLS,Solon Dean,"Dir, 10%",D - Sale to issuer,0.0,-2007623,56072959,-3%,-0.0,,,,,SHLS
26,,2021-07-21 17:05:52,2021-07-19,SHLS,"Oaktree Power Opportunities Fund IV (Delaware) Holdings, L.P.",10%,S - Sale,0.0,-4977751,0,-100%,-0.0,,,,,SHLS
27,D,2021-07-21 16:55:48,2021-07-19,SHLS,White John Joseph Jr,COO,D - Sale to issuer,0.0,-190910,354549,-35%,-0.0,,,,,SHLS
28,D,2021-07-21 16:55:43,2021-07-19,SHLS,Whitaker Jason R,CEO,D - Sale to issuer,0.0,-762556,1416180,-35%,-0.0,,,,,SHLS
29,D,2021-07-21 16:53:00,2021-07-19,SHLS,Garton Philip A,CFO,D - Sale to issuer,0.0,-457534,849707,-35%,-0.0,,,,,SHLS
30,D,2021-07-21 16:52:47,2021-07-19,SHLS,Forth John Bradford,Dir,D - Sale to issuer,0.0,-181820,0,-100%,-0.0,,,,,SHLS
31,D,2021-07-21 16:49:17,2021-07-19,SHLS,Solon Dean,"Dir, 10%",D - Sale to issuer,0.0,-5000000,58080582,-8%,-0.0,,,,,SHLS
32,,2021-07-21 16:47:38,2021-07-19,SHLS,Peetz Mehgan,GC,S - Sale,27.02,-11941,44000,-21%,-322646.0,,,,,SHLS
33,,2021-02-02 17:53:41,2021-01-29,SHLS,Peetz Mehgan,GC,A - Grant,0.0,60000,55941,-1478%,0.0,,,,,SHLS
34,,2021-02-02 17:53:41,2021-01-29,SHLS,Peetz Mehgan,GC,F - Tax,33.93,-4059,55941,-7%,-137722.0,,,,,SHLS
35,D,2021-02-01 17:08:39,2021-01-29,SHLS,Solon Dean,"Dir, 10%",A - Grant,0.0,68314792,63080582,-1305%,0.0,,,,,SHLS
36,D,2021-02-01 17:08:39,2021-01-29,SHLS,Solon Dean,"Dir, 10%",D - Sale to issuer,0.0,-5234210,63080582,-8%,-0.0,,,,,SHLS
37,,2021-01-29 21:56:59,2021-01-28,SHLS,"Oaktree Power Opportunities Fund IV (Delaware) Holdings, L.P.",10%,A - Grant,0.0,81977751,4977751,-106%,0.0,,,,,SHLS
38,D,2021-01-29 21:42:02,2021-01-29,SHLS,Whitaker Jason R,CEO,A - Grant,0.0,2150950,2150950,New,0.0,,,,,SHLS
39,D,2021-01-29 21:39:43,2021-01-29,SHLS,White John Joseph Jr,COO,A - Grant,0.0,549189,549189,New,0.0,,,,,SHLS
40,D,2021-01-29 21:36:28,2021-01-29,SHLS,Garton Philip A,CFO,A - Grant,0.0,1290570,1290570,New,0.0,,,,,SHLS
41,D,2021-01-29 21:36:03,2021-01-29,SHLS,Forth John Bradford,Dir,A - Grant,0.0,558063,558063,New,0.0,,,,,SHLS
42,,2021-01-29 21:35:37,2021-01-29,SHLS,Wilver Peter M,Dir,A - Grant,0.0,4000,4000,New,0.0,,,,,SHLS
