,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-08 16:01:13,2022-03-04,AAOI,Lin Che-Wei,Dir,F - Tax,3.55,-1214,100505,-1%,-4310.0,,,,,AAOI
1,,2022-01-26 16:49:00,2022-01-24,AAOI,Chang Hung-Lun (Fred),*** See Remarks,F - Tax,0.0,-4976,170273,-3%,-0.0,,,,,AAOI
2,,2022-01-26 16:18:26,2022-01-24,AAOI,Yeh Shu-Hua (Joshua),*** See Remarks,F - Tax,0.0,-5440,223445,-2%,-0.0,,,,,AAOI
3,,2022-01-26 16:18:04,2022-01-24,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",F - Tax,0.0,-17251,983087,-2%,-0.0,,,,,AAOI
4,,2022-01-26 16:17:46,2022-01-24,AAOI,Kuo David C,"GC, Secretary",F - Tax,0.0,-3253,92115,-3%,-0.0,,,,,AAOI
5,,2022-01-26 16:17:22,2022-01-24,AAOI,Murry Stefan J.,CFO,F - Tax,0.0,-5428,164618,-3%,-0.0,,,,,AAOI
6,,2021-12-08 16:02:21,2021-12-06,AAOI,Lin Che-Wei,Dir,F - Tax,5.38,-1210,101719,-1%,-6510.0,,,,,AAOI
7,,2021-10-26 16:07:06,2021-10-22,AAOI,Murry Stefan J.,CFO,F - Tax,0.0,-5008,170046,-3%,-0.0,,,,,AAOI
8,,2021-10-26 16:06:53,2021-10-22,AAOI,Yeh Shu-Hua (Joshua),*** See Remarks,F - Tax,0.0,-5429,228885,-2%,-0.0,,,,,AAOI
9,,2021-10-26 16:03:49,2021-10-22,AAOI,Chang Hung-Lun (Fred),*** See Remarks,F - Tax,0.0,-4712,175249,-3%,-0.0,,,,,AAOI
10,,2021-10-26 16:02:41,2021-10-22,AAOI,Kuo David C,"GC, Secretary",F - Tax,0.0,-2885,95368,-3%,-0.0,,,,,AAOI
11,,2021-10-26 16:02:22,2021-10-22,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",F - Tax,0.0,-16931,1000338,-2%,-0.0,,,,,AAOI
12,,2021-09-09 16:02:12,2021-09-07,AAOI,Lin Che-Wei,Dir,F - Tax,7.7,-1207,102929,-1%,-9294.0,,,,,AAOI
13,M,2021-07-26 16:03:15,2021-07-22,AAOI,Murry Stefan J.,CFO,F - Tax,0.0,-5341,175054,-3%,-0.0,,,,,AAOI
14,M,2021-07-26 16:03:13,2021-07-22,AAOI,Yeh Shu-Hua (Joshua),*** See Remarks,F - Tax,0.0,-5991,234314,-2%,-0.0,,,,,AAOI
15,M,2021-07-26 16:02:42,2021-07-22,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",F - Tax,0.0,-18265,1017269,-2%,-0.0,,,,,AAOI
16,M,2021-07-26 16:02:40,2021-07-22,AAOI,Kuo David C,"GC, Secretary",F - Tax,0.0,-3218,98253,-3%,-0.0,,,,,AAOI
17,M,2021-07-26 16:01:22,2021-07-22,AAOI,Chang Hung-Lun (Fred),*** See Remarks,F - Tax,0.0,-5094,179961,-3%,-0.0,,,,,AAOI
18,,2021-06-21 16:05:39,2021-06-11,AAOI,Chang Hung-Lun (Fred),*** See Remarks,A - Grant,0.0,40455,185055,+28%,0.0,,,,,AAOI
19,,2021-06-21 16:05:35,2021-06-11,AAOI,Kuo David C,"GC, Secretary",A - Grant,0.0,25284,101471,+33%,0.0,,,,,AAOI
20,,2021-06-21 16:05:35,2021-06-11,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",A - Grant,0.0,126422,1035534,+14%,0.0,,,,,AAOI
21,,2021-06-21 16:05:31,2021-06-11,AAOI,Yeh Shu-Hua (Joshua),*** See Remarks,A - Grant,0.0,40455,240305,+20%,0.0,,,,,AAOI
22,,2021-06-21 16:05:27,2021-06-11,AAOI,Murry Stefan J.,CFO,A - Grant,0.0,44247,180395,+32%,0.0,,,,,AAOI
23,,2021-06-15 16:46:43,2021-06-11,AAOI,Yeh William H,Dir,A - Grant,0.0,14538,105335,+16%,0.0,,,,,AAOI
24,,2021-06-15 16:44:04,2021-06-11,AAOI,Yeh Shu-Hua (Joshua),*** See Remarks,A - Grant,0.0,61562,199850,+45%,0.0,,,,,AAOI
25,,2021-06-15 16:43:20,2021-06-11,AAOI,Murry Stefan J.,CFO,A - Grant,0.0,59893,136148,+79%,0.0,,,,,AAOI
26,,2021-06-15 16:43:03,2021-06-11,AAOI,Loboa Elizabeth G,Dir,A - Grant,0.0,14538,27591,+111%,0.0,,,,,AAOI
27,,2021-06-15 16:42:18,2021-06-11,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",A - Grant,0.0,181494,909112,+25%,0.0,,,,,AAOI
28,,2021-06-15 16:40:34,2021-06-11,AAOI,Lin Che-Wei,Dir,A - Grant,0.0,14538,104136,+16%,0.0,,,,,AAOI
29,,2021-06-15 16:39:09,2021-06-11,AAOI,Kuo David C,"GC, Secretary",A - Grant,0.0,37387,76187,+96%,0.0,,,,,AAOI
30,,2021-06-15 16:35:25,2021-06-11,AAOI,Delaney Cynthia,Dir,A - Grant,0.0,14538,16918,+611%,0.0,,,,,AAOI
31,,2021-06-15 16:33:43,2021-06-11,AAOI,Chen Min-Chu (Mike),Dir,A - Grant,0.0,14538,79441,+22%,0.0,,,,,AAOI
32,,2021-06-15 16:32:34,2021-06-11,AAOI,Chang Hung-Lun (Fred),*** See Remarks,A - Grant,0.0,59820,144600,+71%,0.0,,,,,AAOI
33,,2021-06-15 16:32:05,2021-06-11,AAOI,Black Richard B,Dir,A - Grant,0.0,14538,85572,+20%,0.0,,,,,AAOI
