,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2022-03-16 17:00:13,2022-03-14,LFST,Bruff Jesse Michael,CFO,S - Sale,7.92,-18487,1816704,-1%,-146498.0,,,,,LFST
1,,2021-06-29 17:22:09,2021-06-25,LFST,"Summit Partners Growth Equity Fund Ix-A, L.P.",10%,S - Sale,17.01,-1140704,45734703,-2%,-19403375.0,,,,,LFST
2,,2021-06-29 17:19:34,2021-06-25,LFST,Summit Partners L P,Manager of GP of 10% Owner,S - Sale,17.01,-1140704,45734703,-2%,-19403375.0,,,,,LFST
3,,2021-06-29 17:12:08,2021-06-25,LFST,Crisan Jeffrey,Member of 10% Group,S - Sale,17.01,-487391,19541192,-2%,-8290521.0,,,,,LFST
4,,2021-06-29 17:11:45,2021-06-25,LFST,"Silversmith Partners I Gp, LLC",Member of 10% Group,S - Sale,17.01,-487391,19541192,-2%,-8290521.0,,,,,LFST
5,,2021-06-29 17:11:06,2021-06-25,LFST,Black Darren M.,"Dir, 10%",S - Sale,17.01,-1140704,45734703,-2%,-19403375.0,,,,,LFST
6,,2021-06-29 16:33:10,2021-06-25,LFST,"Tpg Group Holdings (Sbs) Advisors, Inc.",10%,S - Sale,17.01,-4371905,175284635,-2%,-74366104.0,,,,,LFST
7,,2021-06-16 17:34:23,2021-06-14,LFST,Black Darren M.,"Dir, 10%",S - Sale,17.01,-1368844,46875407,-3%,-23284036.0,,,,,LFST
8,,2021-06-16 17:28:04,2021-06-14,LFST,"Tpg Group Holdings (Sbs) Advisors, Inc.",10%,S - Sale,17.01,-5246286,179656540,-3%,-89239325.0,,,,,LFST
9,,2021-06-16 16:50:25,2021-06-14,LFST,Summit Partners L P,Manager of GP of 10% Owner,S - Sale,17.01,-1368844,46875407,-3%,-23284036.0,,,,,LFST
10,,2021-06-16 16:47:33,2021-06-14,LFST,"Summit Partners Growth Equity Fund Ix-A, L.P.",10%,S - Sale,17.01,-1368844,46875407,-3%,-23284036.0,,,,,LFST
11,,2021-06-16 16:46:58,2021-06-14,LFST,Crisan Jeffrey,Dir,S - Sale,17.01,-584870,20028583,-3%,-9948639.0,,,,,LFST
12,,2021-06-16 16:44:23,2021-06-14,LFST,"Silversmith Partners I Gp, LLC",10%,S - Sale,17.01,-584870,20028583,-3%,-9948639.0,,,,,LFST
