,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2021-12-10 20:50:47,2021-12-07,REFI,Mazarakis John,Exec. COB,P - Purchase,1600.0,161250,204778,+370%,2580000.0,,,,,REFI
1,,2021-12-10 20:49:10,2021-12-07,REFI,"Chicago Atlantic Cre Holdings, LLC",10%,P - Purchase,1600.0,175000,4125298,+4%,2800000.0,,,,,REFI
2,,2021-12-10 20:48:05,2021-12-07,REFI,"Chicago Atlantic Fund Qp, LLC",10%,P - Purchase,1600.0,918750,6611997,+16%,14700000.0,,,,,REFI
3,,2021-12-10 20:46:53,2021-12-07,REFI,Cappell Anthony,CEO,P - Purchase,1600.0,156250,169617,>999%,2500000.0,,,,,REFI
4,M,2021-12-10 20:45:54,2021-12-07,REFI,Bodmeier Andreas,"Co-Pres, CIO",P - Purchase,1600.0,157250,177044,+794%,2516000.0,,,,,REFI
5,,2021-12-10 20:44:56,2021-12-08,REFI,Steiner Michael L.,Dir,P - Purchase,1600.0,5000,189267,+3%,80000.0,,,,,REFI
6,,2021-12-10 20:43:45,2021-12-08,REFI,Sack Peter,Co-Pres,P - Purchase,1600.0,300,3425,+10%,4800.0,,,,,REFI
7,,2021-12-10 20:42:06,2021-12-08,REFI,Papastavrou Jason D,Dir,P - Purchase,1600.0,5000,9688,+107%,80000.0,,,,,REFI
8,,2021-12-10 20:40:18,2021-12-08,REFI,Menze Lindsay,CFO,P - Purchase,1600.0,300,9975,+3%,4800.0,,,,,REFI
9,,2021-12-10 20:39:04,2021-12-08,REFI,Konigsberg Brandon,Dir,P - Purchase,1600.0,1000,5688,+21%,16000.0,,,,,REFI
10,,2021-12-10 20:36:28,2021-12-08,REFI,Herbst Frederick C,Dir,P - Purchase,1600.0,5000,9688,+107%,80000.0,,,,,REFI
