,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2018-12-26 16:35:04,2018-12-24,OMED,Gurney Austin,See Remarks,S - Sale,60.0,-11117,66807,-14%,-6669.0,,,,,OMED
1,,2018-10-11 19:00:18,2018-10-10,OMED,Stagg Robert,"SVP, Clinical R, D",S - Sale,201.0,-927,40670,-2%,-1863.0,,,,,OMED
2,,2018-10-11 18:59:07,2018-10-10,OMED,Li Yvonne,See Remarks,S - Sale,202.0,-927,59734,-2%,-1873.0,,,,,OMED
3,,2018-10-11 18:57:54,2018-10-10,OMED,Gurney Austin,See Remarks,S - Sale,201.0,-1156,77924,-1%,-2324.0,,,,,OMED
4,,2018-10-11 18:56:46,2018-10-10,OMED,Hager Alicia J.,"SVP, GC",S - Sale,202.0,-1156,51754,-2%,-2335.0,,,,,OMED
5,,2018-10-11 18:55:39,2018-10-10,OMED,Lewicki John A.,"Pres, CEO",S - Sale,201.0,-1156,155354,-1%,-2324.0,,,,,OMED
6,,2018-10-10 19:44:00,2018-10-09,OMED,Li Yvonne,See Remarks,S - Sale,213.0,-1229,60661,-2%,-2616.0,,,,,OMED
7,,2018-10-10 19:42:35,2018-10-09,OMED,Gurney Austin,See Remarks,S - Sale,213.0,-1686,79080,-2%,-3589.0,,,,,OMED
8,,2018-10-10 19:41:28,2018-10-09,OMED,Stagg Robert,"SVP, Clinical R, D",S - Sale,213.0,-1686,41597,-4%,-3589.0,,,,,OMED
9,,2018-10-10 19:40:23,2018-10-09,OMED,Lewicki John A.,"Pres, CEO",S - Sale,213.0,-2296,156510,-1%,-4888.0,,,,,OMED
10,,2018-10-10 19:38:53,2018-10-09,OMED,Hager Alicia J.,"SVP, GC",S - Sale,213.0,-1686,52910,-3%,-3589.0,,,,,OMED
11,,2018-04-26 18:14:16,2018-04-24,OMED,Li Yvonne,See Remarks,S - Sale,268.0,-5062,59890,-8%,-13555.0,,,,,OMED
12,,2018-04-26 18:13:41,2018-04-24,OMED,Stagg Robert,"SVP, Clinical R, D",S - Sale,268.0,-4051,43283,-9%,-10848.0,,,,,OMED
13,,2018-04-26 18:13:11,2018-04-24,OMED,Lewicki John A.,"Pres, CEO",S - Sale,268.0,-4557,154806,-3%,-12202.0,,,,,OMED
14,,2018-04-26 18:12:39,2018-04-24,OMED,Gurney Austin,See Remarks,S - Sale,268.0,-4051,76766,-5%,-10848.0,,,,,OMED
15,,2018-04-26 18:11:59,2018-04-24,OMED,Hager Alicia J.,"SVP, GC",S - Sale,268.0,-4051,54596,-7%,-10848.0,,,,,OMED
