,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-14 18:44:19,2021-12-10,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,259.79,-2778,14540,-16%,-721705.0,,,,,SYK
1,,2021-11-15 09:25:47,2021-11-11,SYK,Datar Srikant M.,Dir,S - Sale,263.12,-1000,29002,-3%,-263121.0,,,,,SYK
2,,2021-08-10 20:13:59,2021-08-06,SYK,Stryker Ronda E,Dir,S - Sale,262.26,-150000,6019309,-2%,-39339090.0,,,,,SYK
3,,2021-08-06 20:56:18,2021-08-05,SYK,Fletcher Robert S,"VP, GC",S - Sale,261.1,-1120,4598,-20%,-292436.0,,,,,SYK
4,D,2021-05-06 20:36:08,2021-05-04,SYK,Lobo Kevin,"Chair, CEO",S - Sale+OE,255.79,-107795,64576,-63%,-27573142.0,,,,,SYK
5,,2021-05-04 16:48:06,2021-04-30,SYK,Berry William E Jr,"VP, Corporate Controller",S - Sale,261.28,-5011,0,-100%,-1309256.0,,,,,SYK
6,,2021-04-12 11:42:10,2021-04-08,SYK,Fink M Kathryn,"VP, CHRO",S - Sale,250.0,-4000,10556,-27%,-1000000.0,,,,,SYK
7,,2021-03-03 19:49:32,2021-03-01,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,246.01,-2000,13720,-13%,-492028.0,,,,,SYK
8,,2020-12-29 14:19:10,2020-12-28,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,239.11,-2000,15712,-11%,-478209.0,,,,,SYK
9,D,2020-12-09 13:20:45,2020-12-07,SYK,Lobo Kevin,"COB, CEO",S - Sale+OE,236.28,-10697,70958,-13%,-2527534.0,,,,,SYK
10,D,2020-11-24 10:08:13,2020-11-23,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,232.61,-5000,219025,-2%,-1163038.0,,,,,SYK
11,,2020-11-17 15:00:11,2020-11-13,SYK,Berry William E Jr,"VP, Corporate Controller",S - Sale,231.84,-1275,780,-62%,-295597.0,,,,,SYK
12,,2020-08-10 14:40:40,2020-08-06,SYK,Stryker Ronda E,Dir,S - Sale,186.14,-140000,22739970,-1%,-26059442.0,,,,,SYK
13,,2020-08-03 17:45:57,2020-07-31,SYK,Doliveux Roch,Dir,P - Purchase,191.94,53,22070,0%,10173.0,,,,,SYK
14,D,2020-08-03 17:38:36,2020-07-31,SYK,Lobo Kevin,"COB, CEO",S - Sale+OE,190.8,-25855,70914,-27%,-4933046.0,,,,,SYK
15,,2020-06-17 15:24:11,2020-06-15,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,185.24,-10351,17715,-37%,-1917375.0,,,,,SYK
16,D,2020-06-02 17:39:15,2020-05-29,SYK,Golston Allan C.,Dir,S - Sale+OE,193.23,-7299,9027,-45%,-1410386.0,,,,,SYK
17,DM,2020-05-22 19:32:40,2020-05-19,SYK,Datar Srikant M.,Dir,S - Sale+OE,191.23,-750,23733,-3%,-143420.0,,,,,SYK
18,DM,2020-05-08 18:59:05,2020-05-06,SYK,Datar Srikant M.,Dir,S - Sale+OE,190.07,-900,23633,-4%,-171061.0,,,,,SYK
19,D,2020-05-08 17:09:43,2020-05-07,SYK,Owen Katherine Ann,"VP, Strategy, IR",S - Sale+OE,190.81,-3121,2058,-60%,-595504.0,,,,,SYK
20,,2020-05-07 21:18:30,2020-05-05,SYK,Owen Katherine Ann,"VP, Strategy, IR",S - Sale,186.79,-9149,2058,-82%,-1708910.0,,,,,SYK
21,D,2020-05-04 20:25:29,2020-04-30,SYK,Doliveux Roch,Dir,P - Purchase,190.09,51,22017,0%,9694.0,,,,,SYK
22,D,2020-02-10 15:39:16,2020-02-06,SYK,Doliveux Roch,Dir,S - Sale+OE,217.87,-3540,21029,-14%,-771258.0,,,,,SYK
23,D,2020-02-05 09:04:07,2020-01-31,SYK,Francesconi Louise,Dir,S - Sale+OE,213.65,-7513,16646,-31%,-1605163.0,,,,,SYK
24,,2020-02-04 21:59:36,2020-01-31,SYK,Doliveux Roch,Dir,P - Purchase,216.67,45,20912,0%,9750.0,,,,,SYK
25,D,2019-11-19 12:56:28,2019-11-18,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,206.28,-4666,160876,-3%,-962510.0,,,,,SYK
26,,2019-11-01 12:39:54,2019-10-31,SYK,Doliveux Roch,Dir,P - Purchase,216.77,40,20867,0%,8671.0,,,,,SYK
27,,2019-11-01 10:50:00,2019-10-30,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,215.85,-2700,19271,-12%,-582793.0,,,,,SYK
28,,2019-10-31 16:37:16,2019-10-31,SYK,Lobo Kevin,"COB, CEO",S - Sale,215.71,-19286,31002,-38%,-4160121.0,,,,,SYK
29,D,2019-10-17 10:59:03,2019-10-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,214.5,-4666,160258,-3%,-1000839.0,,,,,SYK
30,,2019-09-30 17:55:31,2019-09-26,SYK,Owen Katherine Ann,"VP, Strategy, IR",S - Sale,216.3,-2500,6270,-29%,-540742.0,,,,,SYK
31,D,2019-09-23 16:14:43,2019-09-19,SYK,Fink M Kathryn,"VP, CHRO",S - Sale+OE,220.97,-28690,9390,-75%,-6339612.0,,,,,SYK
32,D,2019-09-18 21:18:54,2019-09-17,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,218.51,-4666,159631,-3%,-1019583.0,,,,,SYK
33,,2019-09-03 09:37:03,2019-08-30,SYK,Berry William E Jr,"VP, Corporate Controller",S - Sale,223.2,-500,1067,-32%,-111600.0,,,,,SYK
34,D,2019-08-19 11:19:28,2019-08-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,217.08,-4666,159015,-3%,-1012872.0,,,,,SYK
35,,2019-08-16 11:38:29,2019-08-15,SYK,Datar Srikant M.,Dir,S - Sale,215.0,-350,14486,-2%,-75250.0,,,,,SYK
36,D,2019-08-07 16:52:21,2019-08-07,SYK,Golston Allan C.,Dir,S - Sale+OE,209.84,-3399,9027,-27%,-713232.0,,,,,SYK
37,,2019-08-02 14:30:32,2019-07-31,SYK,Stryker Ronda E,Dir,S - Sale,211.58,-39818,23565638,0%,-8424489.0,,,,,SYK
38,,2019-08-01 12:14:58,2019-07-31,SYK,Doliveux Roch,Dir,P - Purchase,212.84,41,20827,0%,8726.0,,,,,SYK
39,,2019-08-01 12:05:39,2019-07-30,SYK,Stryker Ronda E,Dir,S - Sale,214.06,-90182,23605456,0%,-19304711.0,,,,,SYK
40,,2019-07-31 09:19:16,2019-07-30,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,214.16,-2700,21965,-11%,-578221.0,,,,,SYK
41,D,2019-07-17 17:09:47,2019-07-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,205.88,-4666,156600,-3%,-960656.0,,,,,SYK
42,D,2019-06-19 11:41:17,2019-06-18,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,197.68,-4666,155984,-3%,-922387.0,,,,,SYK
43,D,2019-05-17 12:45:18,2019-05-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,186.71,-4666,155368,-3%,-871210.0,,,,,SYK
44,,2019-05-09 13:07:24,2019-05-08,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,188.21,-2700,24665,-10%,-508172.0,,,,,SYK
45,,2019-05-07 11:17:46,2019-05-06,SYK,Sagar Bijoy,"VP, Chief Digital Tech Officer",S - Sale,190.43,-2000,3556,-36%,-380855.0,,,,,SYK
46,D,2019-05-02 20:57:52,2019-04-30,SYK,Doliveux Roch,Dir,P - Purchase,188.77,43,20786,0%,8117.0,,,,,SYK
47,,2019-04-29 16:32:26,2019-04-25,SYK,Francesconi Louise,Dir,S - Sale,187.25,-2679,15598,-15%,-501648.0,,,,,SYK
48,D,2019-04-17 12:35:56,2019-04-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,192.4,-4666,154718,-3%,-897727.0,,,,,SYK
49,,2019-03-25 17:55:50,2019-03-25,SYK,Owen Katherine Ann,"VP, Strategy, IR",S - Sale,194.07,-4544,8735,-34%,-881866.0,,,,,SYK
50,,2019-03-25 17:33:58,2019-03-25,SYK,Lobo Kevin,"COB, CEO",S - Sale,194.11,-41750,50105,-45%,-8103884.0,,,,,SYK
51,,2019-03-25 17:10:15,2019-03-25,SYK,Hutchinson Michael Damon,"VP, GC",S - Sale,194.1,-3936,7064,-36%,-763975.0,,,,,SYK
52,M,2019-03-25 17:04:04,2019-03-22,SYK,Becker Yin C,"VP, Comm., Public Affairs",S - Sale,196.12,-2651,10827,-20%,-519918.0,,,,,SYK
