,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-03 15:04:38,2020-07-06,EIX,Sullivan William P,Dir,P - Purchase,56.26,22,10519,0%,1238.0,,,,,EIX
1,,2021-12-23 15:58:26,2019-04-02,EIX,Chang Vanessa C L,Dir,S - Sale,62.86,-113,5594,-2%,-7103.0,,,,,EIX
2,,2021-11-19 17:59:09,2021-11-17,EIX,Taylor Peter J.,Dir,S - Sale,63.56,-3100,19076,-14%,-197041.0,,,,,EIX
3,,2021-11-08 17:15:26,2021-11-04,EIX,Taylor Peter J.,Dir,S - Sale,62.44,-220,22176,-1%,-13737.0,,,,,EIX
4,,2021-08-04 12:48:16,2021-08-02,EIX,Taylor Peter J.,Dir,S - Sale,54.69,-230,22396,-1%,-12579.0,,,,,EIX
5,,2021-05-04 14:02:30,2021-05-03,EIX,Taylor Peter J.,Dir,S - Sale,59.61,-230,19997,-1%,-13710.0,,,,,EIX
6,,2021-03-10 15:28:40,2021-03-09,EIX,Trent Keith,Dir,P - Purchase,57.4,271,5289,+5%,15557.0,,,,,EIX
7,D,2021-03-03 17:26:39,2021-03-01,EIX,Taylor Peter J.,Dir,S - Sale+OE,54.6,-230,17663,-1%,-12558.0,,,,,EIX
8,,2020-11-03 19:14:01,2020-11-02,EIX,Taylor Peter J.,Dir,S - Sale,56.91,-230,15183,-1%,-13089.0,,,,,EIX
9,,2020-08-04 11:54:52,2020-08-03,EIX,Taylor Peter J.,Dir,S - Sale,55.33,-230,15413,-1%,-12726.0,,,,,EIX
10,,2020-05-05 16:16:20,2020-05-04,EIX,Taylor Peter J.,Dir,S - Sale,56.16,-230,12817,-2%,-12917.0,,,,,EIX
