,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-03-15 16:59:22,2021-03-12,SANW,Callachor David Thomas,"EVP, International",S - Sale,3.7,-3500,32627,-10%,-12950.0,,,,,SAN
1,M,2020-11-25 16:42:00,2020-11-13,SANW,Mfp Partners LP,"See remarks below, 10%",P - Purchase,2.35,73294,16050785,0%,172342.0,,,,,SAN
2,,2020-06-18 17:08:34,2020-06-16,SANW,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,2.3,25000,4493198,+1%,57375.0,,,,,SAN
3,,2020-06-12 16:17:22,2020-06-10,SANW,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,2.25,23648,4468198,+1%,53208.0,,,,,SAN
4,,2020-06-05 11:58:41,2020-06-03,SANW,Willits Alan D,Dir,P - Purchase,2.25,10000,64409,+18%,22500.0,,,,,SAN
5,,2020-05-27 13:57:03,2020-05-26,SANW,Willits Alan D,Dir,P - Purchase,2.3,5801,54409,+12%,13342.0,,,,,SAN
6,,2020-05-22 16:15:18,2020-05-20,SANW,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,2.0,52656,4444550,+1%,105117.0,,,,,SAN
7,M,2020-05-21 06:02:54,2020-05-18,SANW,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,1.94,120184,4391894,+3%,233597.0,,,,,SAN
8,,2020-05-20 16:57:36,2020-05-20,SANW,Szot Matthew K,"EVP Finance, Admin, CFO",P - Purchase,2.04,1000,119369,+1%,2040.0,,,,,SAN
9,,2020-03-24 12:25:00,2020-03-20,SANW,Willits Alan D,Dir,P - Purchase,1.99,900,48608,+2%,1792.0,,,,,SAN
10,,2020-03-20 17:38:55,2020-03-19,SANW,Willits Alan D,Dir,P - Purchase,2.08,583,47708,+1%,1212.0,,,,,SAN
11,,2020-03-18 16:02:23,2020-03-18,SANW,Szot Matthew K,"EVP Finance, Admin, CFO",P - Purchase,1.8,2000,118388,+2%,3594.0,,,,,SAN
12,AM,2020-03-18 16:00:17,2020-03-16,SANW,Straus Robert D,Dir,P - Purchase,2.04,15000,61977,+32%,30585.0,,,,,SAN
13,M,2020-03-18 12:37:43,2020-03-16,SANW,Straus Robert D,Dir,P - Purchase,2.04,15000,61977,+32%,30585.0,,,,,SAN
14,,2020-03-17 16:25:45,2020-03-13,SANW,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,2.25,18191,4271710,0%,40844.0,,,,,SAN
15,,2020-03-11 16:55:07,2020-03-09,SANW,Mfp Partners LP,"See remarks below, 10%",P - Purchase,2.5,9106,15977491,0%,22765.0,,,,,SAN
16,,2020-03-03 16:44:50,2020-02-28,SANW,Mfp Partners LP,"See remarks below, 10%",P - Purchase,2.6,1083,15968385,0%,2816.0,,,,,SAN
17,M,2020-03-02 17:13:19,2020-02-27,SANW,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,2.74,23002,4261710,+1%,62916.0,,,,,SAN
18,,2020-02-26 17:24:24,2020-02-24,SANW,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,2.97,16400,4238708,0%,48708.0,,,,,SAN
19,M,2020-02-24 16:46:56,2020-02-20,SANW,Mfp Partners LP,"See remarks below, 10%",P - Purchase,2.5,22285,15967302,0%,55661.0,,,,,SAN
20,,2020-02-24 12:33:28,2020-02-20,SANW,Willits Alan D,Dir,P - Purchase,2.3,500,47125,+1%,1150.0,,,,,SAN
21,D,2019-01-03 16:41:13,2019-01-02,SANW,Szot Matthew K,"EVP Finance, Admin, CFO",S - Sale+OE,1.84,-1100,75227,-1%,-2019.0,,,,,SAN
22,D,2018-10-03 19:19:31,2018-10-01,SANW,Szot Matthew K,"EVP Finance, Admin, CFO",S - Sale+OE,2.46,-1100,74715,-1%,-2706.0,,,,,SAN
23,D,2018-07-03 17:40:51,2018-07-02,SANW,Szot Matthew K,"EVP Finance, Admin, CFO",S - Sale+OE,3.15,-1100,75131,-1%,-3465.0,,,,,SAN
24,,2018-06-18 09:44:31,2018-06-14,SANW,Mfp Partners LP,"See remarks below, 10%",P - Purchase,3.29,2270,7102300,0%,7468.0,,,,,SAN
25,M,2018-06-07 16:29:56,2018-06-05,SANW,Mfp Partners LP,"See remarks below, 10%",P - Purchase,3.35,76544,7097171,+1%,256257.0,,,,,SAN
26,M,2018-06-04 16:32:34,2018-05-29,SANW,Mfp Partners LP,"See remarks below, 10%",P - Purchase,3.41,74288,7020627,+1%,253307.0,,,,,SAN
