,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2020-02-12 08:46:51,2020-02-11,CRCM,Iac/interactivecorp,10%,P - Purchase,15.0,33514960,1000,-100%,502724400.0,,,,,CRCM
1,,2019-12-16 16:49:44,2019-12-12,CRCM,Marcelo Sheila Lirio,"Pres, CEO",S - Sale,12.69,-9722,1545922,-1%,-123372.0,,,,,CRCM
2,,2019-12-16 16:49:26,2019-12-12,CRCM,Goss Michael L,Acting CFO,S - Sale,12.69,-1554,8345,-16%,-19720.0,,,,,CRCM
3,,2019-12-16 16:49:10,2019-12-12,CRCM,Goins Melanie F,"GC, Secretary",S - Sale,12.69,-646,18700,-3%,-8198.0,,,,,CRCM
4,,2019-12-16 16:48:54,2019-12-12,CRCM,Krupinski David,"CTO, Chief Safety Officer",S - Sale,12.69,-2926,159737,-2%,-37131.0,,,,,CRCM
5,D,2019-09-11 19:02:11,2019-09-10,CRCM,Krupinski David,"CTO, Chief Safety Officer",S - Sale+OE,9.82,-3120,155923,-2%,-30638.0,,,,,CRCM
6,D,2019-09-11 19:01:48,2019-09-10,CRCM,Goins Melanie F,"GC, Secretary",S - Sale+OE,9.82,-670,17098,-4%,-6579.0,,,,,CRCM
7,D,2019-09-11 19:00:49,2019-09-10,CRCM,Goss Michael L,Acting CFO,S - Sale+OE,9.82,-608,8450,-7%,-5971.0,,,,,CRCM
8,M,2019-08-14 18:28:04,2019-08-12,CRCM,Kapoor Chet,Dir,P - Purchase,9.23,120000,726902,+20%,1107468.0,,,,,CRCM
9,,2019-08-13 18:40:37,2019-08-09,CRCM,Bell George,Dir,P - Purchase,9.0,27500,47190,+140%,247500.0,,,,,CRCM
10,,2019-06-13 17:01:31,2019-06-11,CRCM,Marcelo Sheila Lirio,"Pres, CEO",S - Sale,14.37,-10134,1512182,-1%,-145626.0,,,,,CRCM
11,,2019-06-13 17:01:09,2019-06-11,CRCM,Goins Melanie F,"GC, Secretary",S - Sale,14.37,-795,15520,-5%,-11424.0,,,,,CRCM
12,,2019-06-13 17:00:51,2019-06-11,CRCM,Echenberg Michael,CFO,S - Sale,14.37,-7621,49869,-13%,-109514.0,,,,,CRCM
13,,2019-06-13 17:00:26,2019-06-11,CRCM,Krupinski David,"CTO, Chief Safety Officer",S - Sale,14.37,-3052,152303,-2%,-43857.0,,,,,CRCM
14,,2019-04-29 19:47:32,2019-04-25,CRCM,Krupinski David,"CTO, Chief Safety Officer",S - Sale,16.35,-1738,148616,-1%,-28416.0,,,,,CRCM
15,,2019-04-29 19:28:35,2019-04-25,CRCM,Musi Diane,"GC, Secretary",S - Sale,16.35,-1738,33865,-5%,-28416.0,,,,,CRCM
16,,2019-04-29 19:27:49,2019-04-25,CRCM,Echenberg Michael,CFO,S - Sale,16.35,-2610,42178,-6%,-42674.0,,,,,CRCM
17,,2019-04-29 19:26:51,2019-04-26,CRCM,Marcelo Sheila Lirio,"Pres, CEO",S - Sale,16.43,-6888,1387614,0%,-113170.0,,,,,CRCM
18,,2019-03-18 17:33:39,2019-03-14,CRCM,Robertson I. Duncan,Dir,S - Sale,19.67,-6000,20595,-23%,-118020.0,,,,,CRCM
