,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-08-22 18:00:14,2022-08-21,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",F - Tax,12.04,-1617,12548,-11%,-19469.0,,,,,RAM
1,D,2022-08-22 18:00:14,2022-08-21,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",M - OptEx,0.0,6641,12548,+112%,0.0,,,,,RAM
2,,2022-06-13 17:00:12,2022-06-10,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",P - Purchase,14.08,300,7524,+4%,4224.0,,,,,RAM
3,,2022-06-10 17:00:23,2022-06-08,BATL,Rohling Daniel P,COO,P - Purchase,15.1,1500,17586,+9%,22650.0,,,,,RAM
4,,2022-06-10 17:00:16,2022-06-09,BATL,Little Richard H,CEO,P - Purchase,14.58,1000,34570,+3%,14579.0,,,,,RAM
5,,2022-06-03 18:19:57,2022-06-02,BATL,Rohling Daniel P,COO,P - Purchase,15.23,2337,16086,+17%,35584.0,,,,,RAM
6,,2022-06-03 18:18:49,2022-06-01,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",P - Purchase,15.04,300,7224,+4%,4513.0,,,,,RAM
7,,2022-06-03 18:17:33,2022-06-01,BATL,Little Richard H,CEO,P - Purchase,15.17,1000,33570,+3%,15171.0,,,,,RAM
8,D,2022-02-23 17:32:11,2022-02-20,BATL,Evans Grant R,"VP, Exploration, Geosciences",F - Tax,17.98,-1312,6465,-17%,-23590.0,,,,,RAM
9,D,2022-02-23 17:32:11,2022-02-20,BATL,Evans Grant R,"VP, Exploration, Geosciences",M - OptEx,0.0,4427,6465,+217%,0.0,,,,,RAM
10,D,2022-02-23 16:54:45,2022-02-20,BATL,Rohling Daniel P,COO,F - Tax,17.98,-1916,13749,-12%,-34450.0,,,,,RAM
11,D,2022-02-23 16:54:45,2022-02-20,BATL,Rohling Daniel P,COO,M - OptEx,0.0,6641,13749,+93%,0.0,,,,,RAM
12,D,2022-02-23 16:54:12,2022-02-20,BATL,Little Richard H,CEO,F - Tax,17.98,-4536,32570,-12%,-81557.0,,,,,RAM
13,D,2022-02-23 16:54:12,2022-02-20,BATL,Little Richard H,CEO,M - OptEx,0.0,17709,32570,+119%,0.0,,,,,RAM
14,D,2022-02-23 16:53:16,2022-02-20,BATL,Mayer Walter R,"VP, Legal",F - Tax,17.98,-656,3393,-16%,-11795.0,,,,,RAM
15,D,2022-02-23 16:53:16,2022-02-20,BATL,Mayer Walter R,"VP, Legal",M - OptEx,0.0,2214,3393,+188%,0.0,,,,,RAM
16,D,2022-02-23 16:52:52,2022-02-20,BATL,Kasparek Leah R.,"SVP, HR, Corporate Secretary",F - Tax,17.98,-656,3709,-15%,-11795.0,,,,,RAM
17,D,2022-02-23 16:52:52,2022-02-20,BATL,Kasparek Leah R.,"SVP, HR, Corporate Secretary",M - OptEx,0.0,2214,3709,+148%,0.0,,,,,RAM
18,,2021-12-09 19:54:46,2021-12-08,BATL,Rogers William D,Dir,P - Purchase,10.59,2000,4000,+100%,21180.0,,,,,RAM
19,,2021-12-09 19:53:43,2021-12-07,BATL,Kasparek Leah R.,"SVP, HR, Corporate Secretary",S - Sale,10.02,-2,2151,0%,-20.0,,,,,RAM
20,M,2021-12-09 19:52:19,2021-12-07,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",P - Purchase,10.54,350,6924,+5%,3690.0,,,,,RAM
21,A,2021-09-15 20:40:29,2021-09-10,BATL,Hinds Gregory S.,Dir,P - Purchase,7.99,6201,11601,+115%,49519.0,,,,,RAM
22,,2021-09-15 18:47:34,2021-09-14,BATL,Little Richard H,CEO,P - Purchase,7.9,3000,19397,+18%,23706.0,,,,,RAM
23,,2021-09-14 19:00:56,2021-09-14,BATL,Rohling Daniel P,COO,P - Purchase,8.5,4000,9024,+80%,34000.0,,,,,RAM
24,,2021-09-14 19:00:47,2021-09-10,BATL,Evans Grant R,"VP, Exploration, Geosciences",P - Purchase,7.99,6201,9551,+185%,49519.0,,,,,RAM
25,,2021-09-14 19:00:38,2021-09-10,BATL,Little Richard H,CEO,P - Purchase,7.85,3000,16397,+22%,23538.0,,,,,RAM
26,,2021-09-14 19:00:28,2021-09-10,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",P - Purchase,7.92,1550,6574,+31%,12280.0,,,,,RAM
27,D,2021-08-24 17:00:27,2021-08-21,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",F - Tax,11.75,-1617,5024,-24%,-19000.0,,,,,RAM
28,D,2021-08-24 17:00:27,2021-08-21,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",M - OptEx,0.0,6641,5024,-411%,0.0,,,,,RAM
29,,2021-06-15 19:00:12,2021-06-15,BATL,Rogers William D,Dir,P - Purchase,13.44,2000,2000,New,26880.0,,,,,RAM
30,,2021-06-14 19:32:39,2021-06-03,BATL,Germann Scott,Dir,S - Sale,12.5,-2438,0,-100%,-30475.0,,,,,RAM
31,,2021-06-04 17:00:22,2021-06-03,BATL,Germann Scott,Dir,S - Sale,12.54,-1801,2438,-42%,-22585.0,,,,,RAM
32,,2021-06-02 17:30:41,2021-06-01,BATL,Germann Scott,Dir,S - Sale,13.11,-553,4239,-12%,-7250.0,,,,,RAM
