,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2021-12-07 17:01:02,2021-12-03,STGW,Samaha Eli,Dir,P - Purchase,$8.14,292961,5778210,+5%,"+$2,383,930",,,,,MDCA
1,M,2021-12-02 19:26:56,2021-11-30,STGW,Samaha Eli,Dir,P - Purchase,$7.65,450000,5485249,+9%,"+$3,444,180",,,,,MDCA
2,,2021-08-23 16:30:37,2021-08-19,STGW,Penn Mark Jeffery,"CEO, 10%",P - Purchase,$6.66,15000,15004765,0%,"+$99,900",,,,,MDCA
3,M,2021-08-11 16:29:19,2021-08-09,STGW,Penn Mark Jeffery,"CEO, 10%",P - Purchase,$6.16,15000,14989765,0%,"+$92,350",,,,,MDCA
4,M,2021-08-03 19:04:55,2020-06-16,MDC,Goldman Sachs Group Inc,10%,P - Purchase,$1.48,31760,7703,-132%,"+$46,887",,,,,MDCA
5,M,2021-08-03 19:04:55,2020-06-16,MDC,Goldman Sachs Group Inc,10%,S - Sale,$1.48,-31760,7703,-80%,"-$46,887",,,,,MDCA
6,M,2021-08-03 19:01:28,2020-06-16,MDC,Gross Bradley J.,Dir,P - Purchase,$1.48,31760,7703,-132%,"+$46,887",,,,,MDCA
7,M,2021-08-03 19:01:28,2020-06-16,MDC,Gross Bradley J.,Dir,S - Sale,$1.48,-31760,7703,-80%,"-$46,887",,,,,MDCA
8,A,2020-05-21 06:01:28,2020-03-26,MDCA,Penn Mark Jeffery,"CEO, 10%",P - Purchase,$1.68,15000,15003214,0%,"+$25,200",,,,,MDCA
9,M,2020-05-18 17:00:17,2020-05-14,MDCA,Lanuto Frank P,"EVP, CFO",P - Purchase,$1.18,75000,199000,+60%,"+$88,531",,,,,MDCA
10,,2020-05-18 06:05:15,2020-05-13,MDCA,Penn Mark Jeffery,"CEO, 10%",P - Purchase,$1.10,50000,14988214,0%,"+$54,750",,,,,MDCA
11,,2020-04-03 14:35:57,2020-03-26,MDCA,Dimaggio Vincenzo,"SVP, Chief Accounting Officer",P - Purchase,$1.65,20000,78333,+34%,"+$33,000",,,,,MDCA
12,,2020-04-01 15:57:05,2020-03-30,MDCA,Simon Irwin D,Dir,P - Purchase,$1.34,7395,64955,+13%,"+$9,917",,,,,MDCA
13,,2020-03-30 20:21:07,2020-03-26,MDCA,Rogers Desiree G,Dir,P - Purchase,$1.66,15152,48962,+45%,"+$25,152",,,,,MDCA
14,,2020-03-30 16:52:48,2020-03-26,MDCA,Oosterman Wade,Dir,P - Purchase,$1.62,35000,35000,New,"+$56,525",,,,,MDCA
15,M,2020-03-26 20:49:41,2020-03-24,MDCA,Penn Mark Jeffery,"CEO, 10%",P - Purchase,$1.37,50000,14938214,0%,"+$68,600",,,,,MDCA
16,M,2020-03-25 15:39:44,2020-03-23,MDCA,Lanuto Frank P,"EVP, CFO",P - Purchase,$1.24,25000,124000,+25%,"+$31,007",,,,,MDCA
17,,2020-03-25 15:28:47,2020-03-23,MDCA,Ross David Corwin,See Remarks,P - Purchase,$1.10,35000,504238,+7%,"+$38,490",,,,,MDCA
18,,2020-03-23 21:01:04,2020-03-20,MDCA,Penn Mark Jeffery,"CEO, 10%",P - Purchase,$1.38,25000,14888214,0%,"+$34,500",,,,,MDCA
19,M,2020-03-12 21:30:38,2020-03-10,MDCA,Barshefsky Charlene,Dir,P - Purchase,$1.97,50000,50000,New,"+$98,492",,,,,MDCA
20,A,2019-05-20 15:22:34,2019-05-17,MDCA,O'Donovan Anne Marie,Dir,P - Purchase,$3.31,17832,49822,+56%,"+$59,024",,,,,MDCA
21,,2019-05-13 17:09:14,2019-05-13,MDCA,O'Donovan Anne Marie,Dir,P - Purchase,$2.91,17832,49822,+56%,"+$51,891",,,,,MDCA
22,,2019-03-29 08:57:12,2019-03-28,MDCA,Rogers Desiree G,Dir,P - Purchase,$2.17,23820,43800,+119%,"+$51,689",,,,,MDCA
23,D,2019-03-22 12:03:16,2019-03-22,MDCA,Gendel Mitchell,"Gen. Counsel, Corp. Secretary",P - Purchase,$1.85,10000,586288,+2%,"+$18,500",,,,,MDCA
