,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-17 17:58:04,2022-03-16,LGIH,Sharpe Maria Renna,Dir,P - Purchase,$117.79,1000,2305,+77%,"+$117,790",,,,,LGIH
1,,2022-03-17 17:04:34,2022-03-16,LGIH,Snider Michael Larry,"Pres, COO",S - Sale,$118.99,-16729,199652,-8%,"-$1,990,527",,,,,LGIH
2,,2022-03-17 17:03:59,2022-03-16,LGIH,Eaton Rachel Lyons,CMO,S - Sale,$118.99,-3883,54276,-7%,"-$462,023",,,,,LGIH
3,,2022-03-17 17:01:35,2022-03-16,LGIH,Lipar Jack Anthony,EVP of Acquisitions,S - Sale,$118.99,-3883,86671,-4%,"-$462,023",,,,,LGIH
4,,2022-03-17 17:00:46,2022-03-16,LGIH,Garber Scott James,"GC, Secretary",S - Sale,$118.99,-3883,8643,-31%,"-$462,023",,,,,LGIH
5,,2022-03-17 16:58:38,2022-03-16,LGIH,Lipar Eric Thomas,"CEO, COB, 10%",S - Sale,$118.99,-32860,2279703,-1%,"-$3,909,901",,,,,LGIH
6,,2022-03-17 16:54:48,2022-03-16,LGIH,Merdian Charles Michael,"CFO, Treasurer",S - Sale,$118.99,-11233,139594,-7%,"-$1,336,572",,,,,LGIH
7,,2021-12-23 16:28:51,2021-12-22,LGIH,Smith Steven Randal,Dir,S - Sale,$152.60,-2522,20264,-11%,"-$384,857",,,,,LGIH
8,,2021-06-21 16:51:24,2021-06-17,LGIH,Garber Scott James,"GC, Secretary",S - Sale,$153.97,-663,4688,-12%,"-$102,082",,,,,LGIH
9,M,2021-05-13 17:02:12,2021-05-11,LGIH,Eaton Rachel Lyons,CMO,S - Sale,$169.09,-3000,50423,-6%,"-$507,283",,,,,LGIH
10,,2021-03-30 16:38:57,2021-03-26,LGIH,Snider Michael Larry,"Pres, COO",S - Sale,$150.40,-3340,184190,-2%,"-$502,330",,,,,LGIH
11,,2021-03-17 19:22:37,2021-03-16,LGIH,Merdian Charles Michael,"CFO, Treasurer",S - Sale,$138.58,-9346,106216,-8%,"-$1,295,188",,,,,LGIH
12,,2021-03-17 19:21:36,2021-03-16,LGIH,Lipar Jack Anthony,EVP of Acquisitions,S - Sale,$138.58,-3135,82940,-4%,"-$434,455",,,,,LGIH
13,,2021-03-17 19:15:09,2021-03-16,LGIH,Lipar Eric Thomas,"CEO, COB, 10%",S - Sale,$138.58,-27011,2247168,-1%,"-$3,743,239",,,,,LGIH
14,,2021-03-17 19:10:23,2021-03-16,LGIH,Eaton Rachel Lyons,CMO,S - Sale,$138.58,-3135,53423,-6%,"-$434,455",,,,,LGIH
15,,2021-03-17 19:08:57,2021-03-16,LGIH,Gage Duncan S,Dir,S - Sale,$139.69,-702,44932,-2%,"-$98,063",,,,,LGIH
16,,2021-03-17 19:08:57,2021-03-16,LGIH,Gage Duncan S,Dir,P - Purchase,$137.55,697,44932,+2%,"+$95,872",,,,,LGIH
17,,2021-03-17 19:05:15,2021-03-16,LGIH,Snider Michael Larry,"Pres, COO",S - Sale,$138.58,-13410,187530,-7%,"-$1,858,389",,,,,LGIH
18,,2021-03-12 16:46:46,2021-03-11,LGIH,Vahradian Robert Karnig,Dir,S - Sale,$137.35,-3000,19418,-13%,"-$412,050",,,,,LGIH
19,,2021-03-12 16:43:13,2021-03-11,LGIH,Edone Ryan,Dir,S - Sale,$138.03,-1000,33687,-3%,"-$138,030",,,,,LGIH
20,M,2021-03-10 16:56:42,2021-03-09,LGIH,Lipar Eric Thomas,"CEO, COB, 10%",S - Sale,$135.28,-10000,2221577,0%,"-$1,352,836",,,,,LGIH
21,,2021-03-09 17:44:35,2021-03-08,LGIH,Snider Michael Larry,"Pres, COO",S - Sale,$130.26,-3850,175415,-2%,"-$501,493",,,,,LGIH
22,,2020-12-23 16:46:15,2020-12-22,LGIH,Smith Steven Randal,Dir,S - Sale,$113.78,-7000,21795,-24%,"-$796,480",,,,,LGIH
23,,2020-12-17 17:10:23,2019-09-17,LGIH,Vahradian Robert Karnig,Dir,S - Sale,$79.87,-3000,22418,-12%,"-$239,610",,,,,LGIH
24,A,2020-12-11 17:47:19,2019-09-09,LGIH,Sansbury Bryan Christopher,Dir,S - Sale,$80.91,-8949,155020,-5%,"-$724,086",,,,,LGIH
25,A,2020-12-11 17:45:50,2019-11-15,LGIH,Sansbury Bryan Christopher,Dir,S - Sale,$72.00,-9200,145220,-6%,"-$662,400",,,,,LGIH
26,A,2020-12-11 17:43:02,2020-05-18,LGIH,Sansbury Bryan Christopher,Dir,S - Sale,$77.56,-21851,125072,-15%,"-$1,694,807",,,,,LGIH
27,A,2020-12-11 17:41:39,2020-08-17,LGIH,Sansbury Bryan Christopher,Dir,S - Sale,$113.60,-10000,115072,-8%,"-$1,136,042",,,,,LGIH
28,,2020-11-18 17:10:09,2020-11-16,LGIH,Sansbury Bryan Christopher,Dir,S - Sale,$109.92,-9319,106353,-8%,"-$1,024,317",,,,,LGIH
29,,2020-09-21 16:52:06,2020-09-16,LGIH,Smith Steven Randal,Dir,S - Sale,$115.53,-8000,27633,-22%,"-$924,240",,,,,LGIH
30,,2020-09-03 17:05:51,2020-09-02,LGIH,Lipar Eric Thomas,"CEO, COB, 10%",S - Sale,$120.08,-1347,2231577,0%,"-$161,748",,,,,LGIH
31,,2020-08-27 16:37:55,2020-08-25,LGIH,Lipar Eric Thomas,"CEO, COB, 10%",S - Sale,$120.00,-1733,2232924,0%,"-$207,960",,,,,LGIH
32,,2020-08-26 16:42:48,2020-08-25,LGIH,Snider Michael Larry,"Pres, COO",S - Sale,$117.82,-8525,178911,-5%,"-$1,004,416",,,,,LGIH
33,,2020-08-18 17:22:12,2020-08-17,LGIH,Sansbury Bryan Christopher,Dir,S - Sale,$113.60,-10000,115672,-8%,"-$1,136,042",,,,,LGIH
34,,2020-08-10 17:12:31,2020-08-07,LGIH,Gage Duncan S,Dir,S - Sale,$112.00,-10000,43775,-19%,"-$1,120,000",,,,,LGIH
35,,2020-08-06 17:10:06,2020-08-04,LGIH,Lipar Eric Thomas,"CEO, COB, 10%",S - Sale,$122.20,-6920,2234657,0%,"-$845,603",,,,,LGIH
36,,2020-07-27 17:01:13,2020-07-23,LGIH,Lipar Eric Thomas,"CEO, COB, 10%",S - Sale,$120.20,-100,2241577,0%,"-$12,020",,,,,LGIH
37,,2020-07-09 17:02:23,2020-07-08,LGIH,Lipar Eric Thomas,"CEO, COB, 10%",S - Sale,$101.44,-25000,2241677,-1%,"-$2,535,996",,,,,LGIH
38,,2020-05-20 16:45:53,2020-05-19,LGIH,Gage Duncan S,Dir,S - Sale,$78.26,-10000,53775,-16%,"-$782,600",,,,,LGIH
39,,2020-05-19 16:53:30,2020-05-18,LGIH,Sansbury Bryan Christopher,Dir,S - Sale,$77.56,-21851,125672,-15%,"-$1,694,807",,,,,LGIH
40,,2020-03-17 17:21:19,2020-03-16,LGIH,Merdian Charles Michael,"CFO, Treasurer",S - Sale,$45.43,-14536,109372,-12%,"-$660,324",,,,,LGIH
41,,2020-03-17 17:20:45,2020-03-16,LGIH,Eaton Rachel Lyons,CMO,S - Sale,$45.43,-4765,50170,-9%,"-$216,462",,,,,LGIH
