,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,1172.0,1190.0,1170.51001,1189.01001,1189.01001,2694500,AMZN
1,2018-01-03,1188.300049,1205.48999,1188.300049,1204.199951,1204.199951,3108800,AMZN
2,2018-01-04,1205.0,1215.869995,1204.660034,1209.589966,1209.589966,3022100,AMZN
3,2018-01-05,1217.51001,1229.140015,1210.0,1229.140015,1229.140015,3544700,AMZN
4,2018-01-08,1236.0,1253.079956,1232.030029,1246.869995,1246.869995,4279500,AMZN
5,2018-01-09,1256.900024,1259.329956,1241.76001,1252.699951,1252.699951,3661300,AMZN
6,2018-01-10,1245.150024,1254.329956,1237.22998,1254.329956,1254.329956,2686000,AMZN
7,2018-01-11,1259.73999,1276.77002,1256.459961,1276.680054,1276.680054,3125000,AMZN
8,2018-01-12,1273.390015,1305.76001,1273.390015,1305.199951,1305.199951,5443700,AMZN
9,2018-01-16,1323.0,1339.939941,1292.300049,1304.859985,1304.859985,7220700,AMZN
10,2018-01-17,1312.23999,1314.0,1280.880005,1295.0,1295.0,5253800,AMZN
11,2018-01-18,1293.949951,1304.599976,1284.02002,1293.319946,1293.319946,4026900,AMZN
12,2018-01-19,1312.0,1313.0,1292.98999,1294.579956,1294.579956,4578500,AMZN
13,2018-01-22,1297.170044,1327.449951,1296.660034,1327.310059,1327.310059,4140100,AMZN
14,2018-01-23,1338.089966,1364.900024,1337.339966,1362.540039,1362.540039,5169300,AMZN
15,2018-01-24,1374.819946,1388.160034,1338.0,1357.51001,1357.51001,6807500,AMZN
16,2018-01-25,1368.0,1378.339966,1357.619995,1377.949951,1377.949951,4753000,AMZN
17,2018-01-26,1392.01001,1402.530029,1380.910034,1402.050049,1402.050049,4857300,AMZN
18,2018-01-29,1409.180054,1431.390015,1400.439941,1417.680054,1417.680054,5701900,AMZN
19,2018-01-30,1403.170044,1439.25,1392.0,1437.819946,1437.819946,5871900,AMZN
20,2018-01-31,1451.300049,1472.579956,1450.040039,1450.890015,1450.890015,6424700,AMZN
21,2018-02-01,1445.0,1459.880005,1385.140015,1390.0,1390.0,9113800,AMZN
22,2018-02-02,1477.390015,1498.0,1414.0,1429.949951,1429.949951,11125700,AMZN
23,2018-02-05,1402.619995,1458.97998,1320.719971,1390.0,1390.0,11495000,AMZN
24,2018-02-06,1361.459961,1443.98999,1351.790039,1442.839966,1442.839966,11066800,AMZN
25,2018-02-07,1449.0,1460.98999,1415.150024,1416.780029,1416.780029,7162700,AMZN
26,2018-02-08,1429.680054,1433.75,1349.939941,1350.5,1350.5,8578600,AMZN
27,2018-02-09,1373.48999,1383.5,1265.930054,1339.599976,1339.599976,14141500,AMZN
28,2018-02-12,1364.670044,1393.810059,1344.01001,1386.22998,1386.22998,6738900,AMZN
29,2018-02-13,1385.930054,1419.719971,1383.530029,1414.51001,1414.51001,5917900,AMZN
30,2018-02-14,1406.25,1452.060059,1403.359985,1451.050049,1451.050049,5959200,AMZN
31,2018-02-15,1466.890015,1468.939941,1436.839966,1461.76001,1461.76001,5652700,AMZN
32,2018-02-16,1457.369995,1465.800049,1446.560059,1448.689941,1448.689941,4472600,AMZN
33,2018-02-20,1446.48999,1488.77002,1446.48999,1468.349976,1468.349976,6499200,AMZN
34,2018-02-21,1485.0,1503.48999,1478.920044,1482.920044,1482.920044,6304400,AMZN
35,2018-02-22,1495.359985,1502.540039,1475.76001,1485.339966,1485.339966,4858100,AMZN
36,2018-02-23,1495.339966,1500.0,1486.5,1500.0,1500.0,4418100,AMZN
37,2018-02-26,1509.199951,1522.839966,1507.0,1521.949951,1521.949951,4955000,AMZN
38,2018-02-27,1524.5,1526.780029,1507.209961,1511.97998,1511.97998,4808800,AMZN
39,2018-02-28,1519.51001,1528.699951,1512.0,1512.449951,1512.449951,4515000,AMZN
40,2018-03-01,1513.599976,1518.48999,1465.0,1493.449951,1493.449951,6835200,AMZN
41,2018-03-02,1469.099976,1501.050049,1455.01001,1500.25,1500.25,6587600,AMZN
42,2018-03-05,1494.23999,1525.380005,1481.0,1523.609985,1523.609985,5233900,AMZN
43,2018-03-06,1533.199951,1542.130005,1528.0,1537.640015,1537.640015,4561700,AMZN
44,2018-03-07,1526.52002,1545.900024,1522.51001,1545.0,1545.0,4174100,AMZN
45,2018-03-08,1550.0,1554.880005,1545.25,1551.859985,1551.859985,3862600,AMZN
46,2018-03-09,1563.5,1578.939941,1559.079956,1578.890015,1578.890015,4534300,AMZN
47,2018-03-12,1592.599976,1605.329956,1586.699951,1598.390015,1598.390015,5174200,AMZN
48,2018-03-13,1615.959961,1617.540039,1578.01001,1588.180054,1588.180054,6531900,AMZN
49,2018-03-14,1597.0,1606.439941,1590.890015,1591.0,1591.0,4259400,AMZN
50,2018-03-15,1595.0,1596.910034,1578.109985,1582.319946,1582.319946,4069700,AMZN
51,2018-03-16,1583.449951,1589.439941,1567.5,1571.680054,1571.680054,5425000,AMZN
52,2018-03-19,1554.530029,1561.660034,1525.349976,1544.930054,1544.930054,6580800,AMZN
53,2018-03-20,1550.339966,1587.0,1545.410034,1586.51001,1586.51001,4581600,AMZN
54,2018-03-21,1586.449951,1590.0,1563.170044,1581.859985,1581.859985,4750800,AMZN
55,2018-03-22,1565.469971,1573.849976,1542.400024,1544.920044,1544.920044,6320600,AMZN
56,2018-03-23,1539.01001,1549.02002,1495.359985,1495.560059,1495.560059,8006000,AMZN
57,2018-03-26,1530.0,1556.98999,1499.25,1555.859985,1555.859985,5624700,AMZN
