,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,A,2021-12-01 14:13:28,2021-11-11,UBCP,Riesbeck Richard L,Dir,S - Sale,14.75,-2000,58854,-3%,-29500.0,,,,,UBCP
1,,2021-11-16 10:56:39,2021-11-11,UBCP,Riesbeck Richard L,Dir,S - Sale,14.75,-2000,58854,-3%,-29500.0,,,,,UBCP
2,,2021-09-02 11:05:59,2021-08-31,UBCP,Everson Scott A,"Pres, CEO",S - Sale,15.34,-4600,118857,-4%,-70564.0,,,,,UBCP
3,,2021-08-12 13:45:02,2021-08-11,UBCP,Glessner Gary W,Dir,P - Purchase,14.0,900,68505,+1%,12600.0,,,,,UBCP
4,,2021-05-11 16:46:25,2021-05-10,UBCP,Riesbeck Richard L,Dir,S - Sale,14.97,-1970,60424,-3%,-29491.0,,,,,UBCP
5,,2021-05-11 16:40:40,2021-05-11,UBCO,Glessner Gary W,Dir,P - Purchase,14.95,2345,63639,+4%,35058.0,,,,,UBCP
6,,2021-05-05 08:53:09,2021-05-04,UBCP,Glessner Gary W,Dir,P - Purchase,14.95,255,63294,0%,3812.0,,,,,UBCP
7,,2020-11-30 13:32:02,2020-11-25,UBCP,Glessner Gary W,Dir,P - Purchase,12.32,3193,58777,+6%,39338.0,,,,,UBCP
8,,2020-11-30 13:27:03,2020-11-25,UBCP,Riesbeck Richard L,Dir,P - Purchase,12.32,694,39533,+2%,8550.0,,,,,UBCP
9,,2020-11-30 13:23:25,2020-11-25,UBCP,Everson Scott A,"Pres, CEO",P - Purchase,12.32,791,99990,+1%,9745.0,,,,,UBCP
10,,2020-11-30 13:18:56,2020-11-25,UBCP,Hoopingarner John M,Dir,P - Purchase,12.32,652,38832,+2%,8033.0,,,,,UBCP
11,,2020-09-03 11:36:40,2020-09-02,UBCP,Glessner Gary W,Dir,P - Purchase,11.4,490,55584,+1%,5586.0,,,,,UBCP
12,,2020-08-10 14:16:36,2020-07-31,UBCP,Glessner Gary W,Dir,P - Purchase,10.75,950,55094,+2%,10213.0,,,,,UBCP
13,,2019-11-01 11:00:25,2019-10-31,UBCP,Glessner Gary W,Dir,P - Purchase,11.93,2656,52796,+5%,31686.0,,,,,UBCP
14,,2019-11-01 09:57:37,2019-10-31,UBCO,Riesbeck Richard L,Dir,P - Purchase,11.93,612,63434,+1%,7301.0,,,,,UBCP
15,,2019-11-01 09:46:33,2019-10-31,UBCP,Everson Scott A,"Pres, CEO",P - Purchase,11.93,656,110203,+1%,7826.0,,,,,UBCP
16,,2019-11-01 09:08:16,2019-10-31,UBCP,Hoopingarner John M,Dir,P - Purchase,11.93,548,40119,+1%,6538.0,,,,,UBCP
17,,2019-10-17 11:36:05,2019-10-17,UBCP,Greenwood Randall M,SVP CFo,P - Purchase,11.91,500,67987,+1%,5955.0,,,,,UBCP
18,,2019-05-31 09:50:20,2019-05-30,UBCP,Glessner Gary W,Dir,P - Purchase,11.5,2700,50140,+6%,31050.0,,,,,UBCP
19,,2019-05-31 09:47:22,2019-05-27,UBCP,Riesbeck Richard L,Dir,P - Purchase,11.15,150,62822,0%,1673.0,,,,,UBCP
20,,2019-03-11 09:12:20,2019-03-07,UBCP,Hoopingarner John M,Dir,P - Purchase,10.98,3903,41389,+10%,42859.0,,,,,UBCP
21,,2019-02-25 16:33:31,2019-02-25,UBCP,Glessner Gary W,Dir,P - Purchase,11.3,3974,42364,+10%,44906.0,,,,,UBCP
22,,2019-02-25 16:30:25,2019-02-22,UBCP,Glessner Gary W,Dir,P - Purchase,11.3,200,38390,+1%,2260.0,,,,,UBCP
23,,2019-02-21 15:21:04,2019-02-20,UBCP,Glessner Gary W,Dir,P - Purchase,11.15,388,38190,+1%,4326.0,,,,,UBCP
24,M,2019-02-21 15:18:33,2019-02-19,UBCP,Glessner Gary W,Dir,P - Purchase,11.15,725,38190,+2%,8084.0,,,,,UBCP
25,,2019-02-19 10:17:33,2019-02-14,UBCP,Glessner Gary W,Dir,P - Purchase,10.95,100,17465,+1%,1095.0,,,,,UBCP
26,,2018-09-04 09:02:37,2018-08-30,UBCP,Basinger Lisa Ann,Corporate Secretary,P - Purchase,13.57,56,14005,0%,760.0,,,,,UBCP
27,,2018-09-04 08:49:38,2018-08-30,UBCP,Riesbeck Richard L,Dir,P - Purchase,13.57,579,55729,+1%,7857.0,,,,,UBCP
28,,2018-09-04 08:46:36,2018-08-30,UBCP,Hoopingarner John M,Dir,P - Purchase,13.57,718,34630,+2%,9743.0,,,,,UBCP
29,,2018-09-04 08:36:56,2018-08-30,UBCP,Greenwood Randall M,SVP CFO,P - Purchase,13.57,501,38834,+1%,6799.0,,,,,UBCP
30,,2018-09-04 08:26:14,2018-08-30,UBCP,Everson Scott A,"Pres, CEO",P - Purchase,13.57,621,110330,+1%,8427.0,,,,,UBCP
