,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2020-08-27 16:00:20,2020-08-25,REFR,Douglas Kevin,"13(d)(3) Group, 10%",S - Sale,2.16,-190000,2853327,-6%,-409507.0,,,,,REFR
1,,2020-08-11 16:00:22,2020-08-07,REFR,Douglas Kevin,"13(d)(3) Group, 10%",S - Sale,3.56,-100000,3043327,-3%,-356000.0,,,,,REFR
2,,2020-07-30 18:40:00,2020-07-28,REFR,Douglas Kevin,"13(d)(3) Group, 10%",S - Sale,3.2,-100000,3143327,-3%,-320000.0,,,,,REFR
3,M,2020-07-21 16:00:30,2020-07-17,REFR,Douglas Kevin,"13(d)(3) Group, 10%",S - Sale,3.28,-131952,3243327,-4%,-433082.0,,,,,REFR
4,M,2020-07-17 16:00:45,2020-07-15,REFR,Douglas Kevin,"13(d)(3) Group, 10%",S - Sale,3.41,-38130,3375279,-1%,-129935.0,,,,,REFR
5,M,2020-07-02 16:26:02,2020-06-30,REFR,Douglas Kevin,"13(d)(3) Group, 10%",S - Sale,3.91,-34290,3446597,-1%,-133966.0,,,,,REFR
6,M,2020-06-29 21:34:49,2020-06-25,REFR,Douglas Kevin,"13(d)(3) Group, 10%",S - Sale,4.44,-211197,5307376,-4%,-938562.0,,,,,REFR
7,ADM,2019-06-27 17:56:25,2019-06-25,REFR,Lapointe Michael R,VP-Marketing,S - Sale+OE,3.33,-45392,35686,-56%,-151133.0,,,,,REFR
8,DM,2019-06-27 16:30:12,2019-06-25,REFR,Lapointe Michael R,VP-Marketing,S - Sale+OE,3.33,-45392,35686,-56%,-151133.0,,,,,REFR
9,,2018-11-21 11:41:09,2018-11-20,REFR,Kaganowicz Alexander,Dir,P - Purchase,1.24,5000,182128,+3%,6200.0,,,,,REFR
10,,2018-11-20 11:36:35,2018-11-19,REFR,Daigle Darryl,Dir,P - Purchase,1.23,3225,418920,+1%,3979.0,,,,,REFR
11,,2018-11-19 15:29:12,2018-11-19,REFR,Harary Joseph M,"Pres, CEO",P - Purchase,1.24,5000,517504,+1%,6213.0,,,,,REFR
12,,2018-10-16 12:41:21,2018-10-15,REFR,Daigle Darryl,Dir,P - Purchase,1.66,1500,450351,0%,2495.0,,,,,REFR
13,,2018-10-12 13:03:41,2018-10-11,REFR,Daigle Darryl,Dir,P - Purchase,1.74,2000,448851,0%,3480.0,,,,,REFR
14,,2018-10-12 12:59:18,2018-10-10,REFR,Grimes Gregory George,Dir,S - Sale,1.72,-18000,177128,-9%,-31000.0,,,,,REFR
15,D,2018-09-21 20:08:32,2018-09-11,REFR,Douglas Kevin,"13(d)(3) Group, 10%",P - Purchase,0.92,543479,3692084,+17%,500001.0,,,,,REFR
16,M,2018-07-23 16:16:54,2018-07-19,REFR,Daigle Darryl,Dir,P - Purchase,0.85,2500,412195,+1%,2121.0,,,,,REFR
17,,2018-07-17 10:09:36,2018-07-16,REFR,Daigle Darryl,Dir,P - Purchase,0.82,3000,409695,+1%,2460.0,,,,,REFR
18,M,2018-07-13 17:19:54,2018-07-11,REFR,Daigle Darryl,Dir,P - Purchase,0.82,639,406695,0%,527.0,,,,,REFR
19,,2018-06-26 10:47:38,2018-06-25,REFR,Kaganowicz Alexander,Dir,P - Purchase,0.79,10000,177128,+6%,7850.0,,,,,REFR
20,,2018-06-07 10:00:14,2018-06-06,REFR,Daigle Darryl,Dir,P - Purchase,0.9,3063,406056,+1%,2757.0,,,,,REFR
21,,2018-06-06 10:00:13,2018-06-05,REFR,Daigle Darryl,Dir,P - Purchase,0.92,2500,402993,+1%,2300.0,,,,,REFR
22,,2018-06-05 10:00:20,2018-06-04,REFR,Harary Joseph M,"Pres, CEO",P - Purchase,0.85,5000,512504,+1%,4250.0,,,,,REFR
23,,2018-06-04 09:00:20,2018-05-31,REFR,Daigle Darryl,Dir,P - Purchase,0.81,1019,400493,0%,825.0,,,,,REFR
24,,2018-05-31 15:53:08,2018-05-30,REFR,Daigle Darryl,Dir,P - Purchase,0.81,1012,399474,0%,820.0,,,,,REFR
25,,2018-05-16 15:18:42,2018-05-16,REFR,Daigle Darryl,Dir,P - Purchase,0.87,7450,398462,+2%,6482.0,,,,,REFR
26,,2018-05-16 12:59:04,2018-05-16,REFR,Harary Joseph M,"Pres, CEO",P - Purchase,0.87,10000,507504,+2%,8700.0,,,,,REFR
