,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-10 17:00:19,2022-03-09,RPAY,Barnett Naomi,EVP,S - Sale,14.72,-6500,64050,-9%,-95680.0,,,,,RPAY
1,,2021-09-02 17:00:27,2021-08-31,RPAY,Moore Jacob Hamilton,EVP,S - Sale,23.01,-4300,208835,-2%,-98943.0,,,,,RPAY
2,M,2021-06-21 17:00:45,2021-06-17,RPAY,Kirk Jason,CTO,S - Sale,25.0,-13420,168037,-7%,-335500.0,,,,,RPAY
3,,2021-06-09 17:00:24,2021-06-07,RPAY,Kirk Jason,CTO,S - Sale,25.0,-6580,182228,-3%,-164500.0,,,,,RPAY
4,D,2021-06-09 17:00:24,2021-06-08,RPAY,Murphy Timothy John,CFO,S - Sale+OE,25.0,-25267,374904,-6%,-631675.0,,,,,RPAY
5,,2021-05-18 17:00:42,2021-05-14,RPAY,Barnett Naomi,EVP,S - Sale,23.01,-2154,60587,-3%,-49564.0,,,,,RPAY
6,,2021-04-07 17:00:12,2021-04-05,RPAY,Dempsey Tyler B,GC,S - Sale,23.38,-10000,179971,-5%,-233800.0,,,,,RPAY
7,,2021-03-12 17:00:36,2021-03-11,RPAY,Hartheimer Robert Herman,Dir,S - Sale,25.11,-3000,36885,-8%,-75330.0,,,,,RPAY
8,M,2021-03-09 20:32:33,2021-03-05,RPAY,Hartheimer Robert Herman,Dir,S - Sale,23.67,-15000,39885,-27%,-355000.0,,,,,RPAY
9,,2020-12-18 17:00:11,2020-12-16,RPAY,Moore Jacob Hamilton,EVP,S - Sale,24.93,-10000,210056,-5%,-249300.0,,,,,RPAY
10,D,2020-12-17 17:02:52,2020-12-15,RPAY,Jacobs William I,Dir,S - Sale+OE,24.53,-20000,19386,-51%,-490600.0,,,,,RPAY
11,,2020-12-17 17:02:50,2020-12-15,RPAY,Hartheimer Robert Herman,Dir,S - Sale,24.21,-17500,54885,-24%,-423750.0,,,,,RPAY
12,D,2020-09-30 17:00:09,2020-09-28,RPAY,Alias Shaler,Pres,S - Sale+OE,24.2,-156181,315060,-33%,-3779580.0,,,,,RPAY
13,,2020-09-17 19:00:11,2020-09-15,RPAY,Dempsey Tyler B,GC,S - Sale,23.23,-35000,178352,-16%,-813050.0,,,,,RPAY
14,DM,2020-07-31 21:05:39,2020-07-30,RPAY,Murphy Timothy John,CFO,S - Sale+OE,21.88,-450120,346964,-56%,-9849697.0,,,,,RPAY
15,DM,2020-07-30 20:07:45,2020-07-28,RPAY,Kirk Jason,CTO,S - Sale+OE,22.41,-200004,174224,-53%,-4481294.0,,,,,RPAY
16,D,2020-07-28 18:15:59,2020-07-24,RPAY,Perlmutter Susan,Chief Revenue Officer,S - Sale+OE,22.46,-70002,168995,-29%,-1572245.0,,,,,RPAY
17,D,2020-07-28 18:13:49,2020-07-24,RPAY,Jackson Michael Frank,COO,S - Sale+OE,22.46,-139173,217794,-39%,-3125826.0,,,,,RPAY
18,DM,2020-07-24 19:00:10,2020-07-22,RPAY,Alias Shaler,Pres,S - Sale+OE,23.16,-283820,315979,-47%,-6572909.0,,,,,RPAY
19,,2020-06-05 20:00:16,2020-06-03,RPAY,Sullivan Thomas Eugene,"VP, Controller",S - Sale,23.45,-28145,69099,-29%,-660000.0,,,,,RPAY
20,M,2020-05-15 20:52:14,2020-05-13,RPAY,Hartheimer Robert Herman,Dir,S - Sale,18.58,-15000,150228,-9%,-278650.0,,,,,RPAY
21,,2020-03-20 17:27:50,2020-03-18,RPAY,Thornburgh Richard E,Dir,P - Purchase,15.53,16600,29045,+133%,257798.0,,,,,RPAY
22,,2020-03-20 17:26:20,2020-03-18,RPAY,Garcia Paul R,Dir,P - Purchase,15.16,65800,78245,+529%,997528.0,,,,,RPAY
23,M,2019-03-14 16:15:18,2019-03-12,TBRG,Polar Asset Management Partners Inc.,10%,S - Sale,10.17,-1218000,1709979,-42%,-12389990.0,,,,,RPAY
